time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-02-23,1,2,1,0.8281006217002869,0.33373810490593314,0.9966464638710022,0.3295671809464693
2018-02-27,0,0,1,0.0043640248477458,0.0043640248477458,0.9751126170158386,0.9751126170158386
2018-03-02,0,3,0,0.0420267581939697,0.0187805818083385,0.0270330663770437,0.012430659650514467
2018-03-19,0,1,0,0.0060140010900795,0.0060140010900795,0.0070363725535571,0.0070363725535571
2018-03-23,1,0,0,0.9727556705474854,0.9727556705474854,0.0209962837398052,0.0209962837398052
2018-03-27,0,0,1,0.0123212207108736,0.0123212207108736,0.971301019191742,0.971301019191742
2018-04-02,2,0,0,0.9957975149154664,0.9923923909664154,0.0085092028602957,0.00582999247126275
2018-04-03,1,0,0,0.9925578832626344,0.9925578832626344,0.0046857106499373,0.0046857106499373
2018-04-10,1,1,0,0.9515462517738342,0.4861937575042248,0.3227038979530334,0.1835320927202701
2018-04-11,1,0,3,0.9391990900039672,0.23924011515919108,0.99177223443985,0.7477298602461815
2018-04-12,1,0,0,0.9850826263427734,0.9850826263427734,0.0122269447892904,0.0122269447892904
2018-04-23,0,0,1,0.0127146439626812,0.0127146439626812,0.8665133118629456,0.8665133118629456
2018-04-27,1,2,3,0.9454488158226012,0.17156018549576393,0.9974900484085084,0.512323857905964
2018-04-30,1,0,1,0.907296657562256,0.45800628047436476,0.7610002160072327,0.40836756117641926
2018-05-01,0,0,1,0.002646550303325,0.002646550303325,0.994698405265808,0.994698405265808
2018-05-04,1,0,0,0.922837257385254,0.922837257385254,0.0218014530837535,0.0218014530837535
2018-05-07,0,1,0,0.034285370260477,0.034285370260477,0.0670524910092353,0.0670524910092353
2018-05-21,0,2,0,0.0794445648789405,0.0735433585941791,0.0596541687846183,0.0573689322918653
2018-05-22,1,0,0,0.6842522025108337,0.6842522025108337,0.0962190479040145,0.0962190479040145
2018-06-25,2,0,0,0.9707382321357728,0.7547641396522522,0.05929621681571,0.040646560490131295
2018-06-28,0,0,1,0.0021729483269155,0.0021729483269155,0.997147500514984,0.997147500514984
2018-07-16,0,1,2,0.3478778004646301,0.15405264974106098,0.9973451495170592,0.5754118313392004
2018-07-18,1,0,0,0.8030143976211548,0.8030143976211548,0.1599298566579818,0.1599298566579818
2018-07-24,0,0,1,0.0053720641881227,0.0053720641881227,0.9889016151428224,0.9889016151428224
2018-07-30,0,0,1,0.0427383184432983,0.0427383184432983,0.9518062472343444,0.9518062472343444
2018-08-01,2,0,3,0.5722054243087769,0.2911117378622293,0.977589190006256,0.7053428292274475
2018-08-06,2,0,2,0.8958330750465393,0.4258071315707639,0.9950577020645142,0.5517230611294508
2018-08-17,2,0,2,0.9930697083473206,0.6660811305046082,0.6574624180793762,0.331461840425618
2018-08-20,0,0,2,0.3908880352973938,0.3908880352973938,0.6045030355453491,0.6045030355453491
2018-08-27,0,0,1,0.0013847497757524,0.0013847497757524,0.9967071413993835,0.9967071413993835
2018-09-03,0,0,4,0.0050229388289153,0.0030171969556249,0.9976413249969482,0.9942276179790497
2018-09-07,2,1,1,0.9914301037788392,0.49711208208464086,0.986318826675415,0.25667858996894205
2018-09-13,0,0,1,0.043759312480688,0.043759312480688,0.8822538256645203,0.8822538256645203
2018-09-18,0,0,1,0.0176028572022914,0.0176028572022914,0.9691845178604126,0.9691845178604126
2018-09-21,0,0,1,0.2085120230913162,0.2085120230913162,0.7827615141868591,0.7827615141868591
2018-09-24,0,1,0,0.0435868464410305,0.0435868464410305,0.3621186316013336,0.3621186316013336
2018-10-01,1,0,0,0.8338741660118103,0.8338741660118103,0.160324141383171,0.160324141383171
2018-10-02,0,0,1,0.2929854691028595,0.2929854691028595,0.6975089907646179,0.6975089907646179
2018-10-04,1,0,0,0.9281587600708008,0.9281587600708008,0.0683960616588592,0.0683960616588592
2018-10-05,0,0,1,0.1211098730564117,0.1211098730564117,0.5196885466575623,0.5196885466575623
2018-10-10,0,0,1,0.0021761141251772,0.0021761141251772,0.9966915845870972,0.9966915845870972
2018-10-11,4,0,3,0.9883394241333008,0.5401761478611401,0.9653136134147644,0.4177192880639008
2018-10-12,0,0,2,0.2092185169458389,0.115742240101099,0.9715614318847656,0.8795409798622131
2018-10-15,1,0,0,0.617224931716919,0.617224931716919,0.1563184261322021,0.1563184261322021
2018-10-22,1,0,0,0.9532759189605712,0.9532759189605712,0.0438961684703826,0.0438961684703826
2018-10-24,1,0,0,0.982373595237732,0.982373595237732,0.0108592202886939,0.0108592202886939
2018-10-25,4,2,4,0.9923350214958192,0.4037991936318576,0.9962206482887268,0.40073938581626856
2018-10-26,0,0,1,0.2563295364379883,0.2563295364379883,0.7407317161560059,0.7407317161560059
2018-11-06,4,0,3,0.9946562051773072,0.5887122119976473,0.9964821338653564,0.37999495368317826
2018-11-12,0,0,1,0.0253601614385843,0.0253601614385843,0.9722887873649596,0.9722887873649596
2018-11-16,9,0,3,0.9944565296173096,0.7010764210329702,0.99732768535614,0.29289678468679387
2018-11-19,3,0,1,0.9950980544090272,0.759817086160183,0.9299358129501344,0.2375994143076241
2018-11-21,1,0,0,0.9892618656158448,0.9892618656158448,0.007355532143265,0.007355532143265
2018-11-27,0,0,2,0.0223594829440116,0.01287943939678365,0.9798863530158995,0.9664733111858368
2018-12-03,1,2,1,0.6721994280815125,0.1904101177642587,0.9954774975776672,0.3533904786454513
2018-12-04,1,0,1,0.9774840474128724,0.49236317304894334,0.9900031089782716,0.5044758394360542
2018-12-05,2,0,0,0.785855770111084,0.6720698177814484,0.3720416128635406,0.23491123318672175
2018-12-07,0,0,1,0.0113857369869947,0.0113857369869947,0.8204531669616699,0.8204531669616699
2018-12-10,3,0,1,0.976722002029419,0.6980208866298199,0.9807289242744446,0.2953193690627813
2018-12-11,1,0,3,0.9803403615951538,0.26849266304634506,0.9639832377433776,0.7044733893126249
2018-12-12,0,0,4,0.0052916668355464,0.0037517437012865498,0.9965270161628724,0.9883280396461487
2018-12-13,4,1,0,0.8750947713851929,0.6018326312303544,0.4236035943031311,0.2622152835130691
2018-12-17,0,0,1,0.0388803295791149,0.0388803295791149,0.9287146925926208,0.9287146925926208
2018-12-18,1,0,3,0.9636995196342468,0.35673782398225734,0.993005096912384,0.6326265642419457
2018-12-26,1,0,0,0.9934436082839966,0.9934436082839966,0.0052905390039086,0.0052905390039086
2018-12-27,3,2,0,0.9948127269744872,0.608514441549778,0.2758851051330566,0.06128185223788017
2018-12-28,1,0,0,0.9289907217025756,0.9289907217025756,0.0689110606908798,0.0689110606908798
2019-01-01,3,0,0,0.9936506152153016,0.9837903380393982,0.018646452575922,0.014185282401740532
2019-01-02,1,0,1,0.993584930896759,0.5018743150867522,0.9864405989646912,0.49541547405533487
2019-01-04,1,0,3,0.995238184928894,0.25036053851363244,0.9969086050987244,0.747036425571423
2019-01-07,0,0,2,0.0418358892202377,0.0244462736882269,0.9565135836601256,0.8738149106502533
2019-01-09,2,0,5,0.9915999174118042,0.27801898657344276,0.9962725639343262,0.7048772197948503
2019-01-10,1,2,4,0.9748832583427428,0.14799851688024182,0.9971145391464232,0.6413363556244543
2019-01-14,2,0,0,0.9936180114746094,0.9890064597129822,0.0127984406426548,0.00890587619505815
2019-01-15,1,1,0,0.9689385890960692,0.4928493117913603,0.0364335179328918,0.032990032806992496
2019-01-17,0,0,1,0.0012596314772963,0.0012596314772963,0.9980027079582214,0.9980027079582214
