Date_INTC_L01d,Open_INTC_L01d,High_INTC_L01d,Low_INTC_L01d,Close_INTC_L01d,Adj Close_INTC_L01d,Volume_INTC_L01d,Daily_Return_INTC_L01d,Vol5_INTC_L01d,Vol10_INTC_L01d,Vol20_INTC_L01d,Vol60_INTC_L01d,SMA5_INTC_L01d,SMA10_INTC_L01d,SMA30_INTC_L01d,SMA60_INTC_L01d,SMA100_INTC_L01d,EMA5_INTC_L01d,EMA10_INTC_L01d,EMA30_INTC_L01d,EMA60_INTC_L01d,EMA100_INTC_L01d,Short12_INTC_L01d,Long26_INTC_L01d,MACD_INTC_L01d,SIGNAL9_INTC_L01d,Ret5/10_INTC_L01d,Ret10/30_INTC_L01d,Ret30/60_INTC_L01d,Ret30/100_INTC_L01d,Emaret5/10_INTC_L01d,Emaret10/30_INTC_L01d,Emaret30/60_INTC_L01d,Emaret30/100_INTC_L01d,RetMACD_INTC_L01d,DayRange_INTC_L01d,average20r_INTC_L01d,PRVHI_INTC_L01d,HitLevel_INTC_L01d,hitlevel_2_INTC_L01d,hitlevel_1.8_INTC_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,27.04999923706055,27.06999969482422,26.3700008392334,26.72999954223633,26.72999954223633,31308000.0,1.1350708800476315,1.6087465352989283,1.7046852557764807,1.6104657333378596,2.689380195717516,26.170000076293945,26.297000122070312,28.002666727701822,27.783333365122477,29.050099964141847,26.38161290563306,26.5412242419706,27.463929654255388,28.35239048633226,30.04624048651187,26.65850116448147,27.336890451077778,-0.6783892865963068,-0.6225296059030687,-3.5540620247237342,-3.5540620247237342,3.5540620247237342,-3.5540620247237342,3.5540620247237342,-3.5540620247237342,-3.5540620247237342,-3.5540620247237342,-3.5540620247237342,0.7600002288818395,0.719499874114991,27.06999969482422,24.86609931945801,25.010999298095705,25.1558992767334,1.0,0.99517055005564,0.9939862858290787,1.0585045185924826,0.0,2.0,1.0,0.0104770883917808,0.0059305161305935,0.9094019532203674,0.36863724717954,,1,,-1,,1,,1
2023-01-04,27.40999984741211,27.92000007629395,27.15999984741211,27.68000030517578,27.68000030517578,37665200.0,3.5540620247237342,1.9458947159980886,2.038183076526049,1.840281587679156,2.6330954006232306,26.518000030517577,26.386000061035155,27.9296667098999,27.8160000483195,28.970999965667726,26.814408705480634,26.74827443528063,27.477869696250252,28.330344906622212,29.999384245297293,26.815654878434444,27.36230599582578,-0.5466511173913347,-0.607353908200722,-0.4335290386935562,0.4335290386935562,-0.4335290386935562,0.4335290386935562,-0.4335290386935562,-0.4335290386935562,0.4335290386935562,0.4335290386935562,-0.4335290386935562,0.4000015258789098,0.690999984741212,27.92000007629395,25.48709997177124,25.630999946594237,25.774899921417234,0.0,1.00500265175385,1.0024724686581192,1.1075386996054628,1.0,0.0,0.0,0.9845655560493468,0.9845655560493468,0.0141093572601675,0.0141093572601675,3.5540620247237342,1,-3.5540620247237342,-1,3.5540620247237342,-1,3.5540620247237342,1
2023-01-05,27.44000053405762,27.78000068664551,27.3799991607666,27.55999946594238,27.55999946594238,33552600.0,-0.4335290386935562,1.5636203256416712,1.9773305863122106,1.796886742919933,2.6187783033120606,26.921999740600587,26.497999954223634,27.883666674296062,27.855333360036216,28.885499954223633,27.062938958967884,26.895860804491853,27.4831683910691,28.30508767905894,29.951079596201154,26.930169430358742,27.376949956575157,-0.44678052621641484,-0.5752392318038606,4.245283377961581,-4.245283377961581,4.245283377961581,-4.245283377961581,4.245283377961581,4.245283377961581,-4.245283377961581,-4.245283377961581,4.245283377961581,1.4500007629394496,0.7435000419616704,27.78000068664551,26.399800109863282,26.538000106811523,26.67620010375977,1.0,1.0160011996040996,1.006212039677426,1.1004202652745143,0.0,0.0,5.0,0.1112692132592201,0.040521318051844,0.9936326146125792,0.9232768298037414,-0.4335290386935562,1,0.4335290386935562,1,0.4335290386935562,1,-0.4335290386935562,1
2023-01-06,27.93000030517578,28.82999992370605,27.3799991607666,28.72999954223633,28.72999954223633,31788600.0,4.245283377961581,1.961285524063358,2.3062004967604284,2.0377081278715954,2.668288424868205,27.42599983215332,26.68799991607666,27.847333335876463,27.91683333714803,28.809399948120117,27.618625820057368,27.229340574990847,27.563609110499247,28.31901921555656,29.926899793152344,27.207066370647603,27.477175851809317,-0.2701094811617146,-0.5142132816754315,2.0187954505651224,-2.0187954505651224,-2.0187954505651224,-2.0187954505651224,2.0187954505651224,2.0187954505651224,-2.0187954505651224,-2.0187954505651224,2.0187954505651224,1.0300006866455078,0.7685000419616703,28.82999992370605,26.144300594329835,26.29300060272217,26.441700611114506,1.0,1.0276528746401896,1.0142965359001042,1.1317619364699083,0.0,1.0,0.0,0.001620782,0.001620782,0.002593269,0.002593269,4.245283377961581,-1,4.245283377961581,-1,4.245283377961581,-1,4.245283377961581,-1
2023-01-09,28.84000015258789,29.8700008392334,28.84000015258789,29.30999946594238,29.30999946594238,37493200.0,2.0187954505651224,1.8756939673820079,1.871338917300225,2.082405261685497,2.675482829691987,28.00199966430664,27.02199993133545,27.83533331553141,27.983166662851968,28.74059995651245,28.182417035352373,27.607642191527486,27.67627945601171,28.35151037130691,29.914683945088782,27.530594539154492,27.61294056396732,-0.08234602481282849,-0.4278398303029109,0.44353828210164276,-0.44353828210164276,-0.44353828210164276,-0.44353828210164276,0.44353828210164276,0.44353828210164276,-0.44353828210164276,-0.44353828210164276,0.44353828210164276,0.5900001525878906,0.7685000419616703,29.8700008392334,27.139299831390375,27.29299983978271,27.446699848175044,1.0,1.0362667358249364,1.0208194107934825,0.8986430027484492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0187954505651224,-1,-2.0187954505651224,-1,-2.0187954505651224,-1,-2.0187954505651224,-1
2023-01-10,29.23999977111816,29.51000022888184,28.92000007629395,29.44000053405762,29.44000053405762,23008100.0,0.44353828210164276,1.9871769974383973,1.872196118592931,2.0728228355807072,2.622943945520197,28.543999862670898,27.356999969482423,27.838666661580405,28.033500003814698,28.67719997406006,28.60161153492079,27.94079825380569,27.790067912659836,28.387198573364312,29.905284273583217,27.824349307601125,27.748278339529566,0.07607096807155855,-0.32705767062801705,1.3926624999133463,-1.3926624999133463,-1.3926624999133463,-1.3926624999133463,1.3926624999133463,1.3926624999133463,1.3926624999133463,-1.3926624999133463,1.3926624999133463,0.8799991607666016,0.7700000762939453,29.51000022888184,28.179300746917725,28.333000755310056,28.48670076370239,1.0,1.0433892566623757,1.0236504796717858,0.9032108709225166,0.0,2.0,1.0,0.032929555,0.0134544413333333,0.986096203,0.4079218754075139,-0.44353828210164276,1,-0.44353828210164276,1,-0.44353828210164276,1,-0.44353828210164276,1
2023-01-11,29.68000030517578,29.8799991607666,29.0,29.85000038146973,29.85000038146973,30375400.0,1.3926624999133463,1.7794897890952972,1.7614410268285174,2.0663396499443216,2.6119678243211104,28.977999877929687,27.747999954223634,27.876000022888185,28.099166679382325,28.61369997024536,29.017741150437104,28.287925913380967,27.922966781615315,28.435159288384163,29.904189543046314,28.13598793435014,27.903961453747357,0.23202648060278364,-0.21524084038185692,1.474038621221437,-1.474038621221437,-1.474038621221437,-1.474038621221437,-1.474038621221437,1.474038621221437,1.474038621221437,-1.474038621221437,1.474038621221437,0.9099998474121129,0.7295001029968263,29.8799991607666,27.816000061035158,27.97000007629395,28.124000091552738,1.0,1.044327516424074,1.0257995315489326,0.8524450599764566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3926624999133463,-1,1.3926624999133463,1,1.3926624999133463,-1,1.3926624999133463,-1
2023-01-12,29.97999954223633,30.3799991607666,29.46999931335449,30.29000091552734,30.29000091552734,28963900.0,1.474038621221437,1.4206932298188018,1.4219543357388857,2.085112052450487,2.607292122896443,29.52400016784668,28.22299995422363,27.922333399454754,28.163666693369546,28.56279996871948,29.441827738800516,28.65193955013485,28.075678661222543,28.495973767962628,29.911829372204352,28.46737454683894,28.080705117582912,0.38666942925602754,-0.09485878645428003,-0.5942565194295159,-0.5942565194295159,0.5942565194295159,0.5942565194295159,0.5942565194295159,-0.5942565194295159,-0.5942565194295159,0.5942565194295159,-0.5942565194295159,0.3600006103515696,0.6920001029968269,30.3799991607666,28.275098934173585,28.420998954772948,28.566898975372315,0.0,1.0460971624467,1.0275684020372697,0.6819558373698726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.474038621221437,-1,1.474038621221437,1,-1.474038621221437,-1,-1.474038621221437,1
2023-01-13,29.96999931335449,30.17000007629395,29.80999946594238,30.11000061035156,30.11000061035156,31361900.0,-0.5942565194295159,1.0312705283030879,1.554980925213389,2.0472615572889423,2.591666420662881,29.800000381469726,28.613000106811523,27.923666763305665,28.234333356221516,28.52549997329712,29.664552029317534,28.91704156108334,28.206925238585708,28.548892680827837,29.91575355513796,28.720086248917802,28.23102330223244,0.48906294668536177,0.02192556017364833,-1.6937901645425246,-1.6937901645425246,1.6937901645425246,1.6937901645425246,1.6937901645425246,-1.6937901645425246,-1.6937901645425246,1.6937901645425246,-1.6937901645425246,0.7399997711181712,0.6850001335144054,30.17000007629395,28.85759893417358,28.995998954772947,29.134398975372314,0.0,1.041484649293229,1.0258501709677035,0.7595418961867046,1.0,0.0,2.0,0.9726446866989136,0.3251990175663045,0.9944696426391602,0.6698898673057556,0.5942565194295159,-1,-0.5942565194295159,1,0.5942565194295159,-1,-0.5942565194295159,-1
2023-01-17,30.18000030517578,30.26000022888184,29.52000045776367,29.60000038146973,29.60000038146973,34759100.0,-1.6937901645425246,1.3529703659475523,1.8383343386153392,1.8541313675335027,2.604030142210026,29.858000564575196,28.93000011444092,27.916000111897787,28.294333362579344,28.481999969482423,29.643034813368267,29.04121589206268,28.29680105425565,28.583355228389863,29.909501017045518,28.855457653925793,28.332429011805573,0.5230286421202202,0.1221461765629627,-2.668921977521018,-2.668921977521018,2.668921977521018,2.668921977521018,2.668921977521018,-2.668921977521018,-2.668921977521018,2.668921977521018,-2.668921977521018,1.1900005340576172,0.7100002288818367,30.26000022888184,28.662999782562256,28.799999809265138,28.93699983596802,0.0,1.0320774437076843,1.0207229243962224,0.9914800918668574,0.0,1.0,5.0,0.024623472,0.0120865257727033,0.9935861229896544,0.7645192928612232,1.6937901645425246,1,-1.6937901645425246,-1,1.6937901645425246,1,1.6937901645425246,1
