Date_INTU_L01d,Open_INTU_L01d,High_INTU_L01d,Low_INTU_L01d,Close_INTU_L01d,Adj Close_INTU_L01d,Volume_INTU_L01d,Daily_Return_INTU_L01d,Vol5_INTU_L01d,Vol10_INTU_L01d,Vol20_INTU_L01d,Vol60_INTU_L01d,SMA5_INTU_L01d,SMA10_INTU_L01d,SMA30_INTU_L01d,SMA60_INTU_L01d,SMA100_INTU_L01d,EMA5_INTU_L01d,EMA10_INTU_L01d,EMA30_INTU_L01d,EMA60_INTU_L01d,EMA100_INTU_L01d,Short12_INTU_L01d,Long26_INTU_L01d,MACD_INTU_L01d,SIGNAL9_INTU_L01d,Ret5/10_INTU_L01d,Ret10/30_INTU_L01d,Ret30/60_INTU_L01d,Ret30/100_INTU_L01d,Emaret5/10_INTU_L01d,Emaret10/30_INTU_L01d,Emaret30/60_INTU_L01d,Emaret30/100_INTU_L01d,RetMACD_INTU_L01d,DayRange_INTU_L01d,average20r_INTU_L01d,PRVHI_INTU_L01d,HitLevel_INTU_L01d,hitlevel_2_INTU_L01d,hitlevel_1.8_INTU_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-03,396.7000122070312,404.4500122070312,385.2200012207031,391.1799926757812,391.1799926757812,1874000.0,0.5035690480784608,2.0884699039539885,1.7360178094765346,2.5822736154815873,3.16024784808004,386.1759948730469,386.3249938964844,393.8053334554036,395.820166015625,411.0948992919922,388.2931996933052,389.02908190586027,393.2271318810324,398.362685969368,405.8957941594387,389.63464812037097,392.5874648620371,-2.9528167416661404,-2.367357791936533,-0.0997020951326789,-0.0997020951326789,-0.0997020951326789,-0.0997020951326789,0.0997020951326789,-0.0997020951326789,-0.0997020951326789,-0.0997020951326789,-0.0997020951326789,12.1199951171875,12.621501159667952,404.4500122070312,361.7936972045898,364.30699768066404,366.82029815673826,1.0,0.9996143168943467,0.998108413363469,0.6722826733265336,0.0,1.0,0.0,0.001721556,0.001721556,0.00818185,0.00818185,,1,,-1,,1,,-1
2023-01-04,397.5799865722656,399.7200012207031,387.6000061035156,391.5700073242188,391.5700073242188,1209700.0,0.0997020951326789,2.0587084102339572,1.7256544575137298,2.486967612855826,3.1063091278340744,387.8679992675781,387.12999572753904,394.18866678873695,395.79699961344403,410.2228994750977,389.38546890360976,389.4910683455618,393.1202206193025,398.13997519411714,405.6121152122067,389.93239569019374,392.51209763701354,-2.579701946819796,-2.4098266229131857,-4.073348803200023,4.073348803200023,4.073348803200023,4.073348803200023,-4.073348803200023,4.073348803200023,4.073348803200023,4.073348803200023,4.073348803200023,12.470001220703125,12.728501892089827,399.7200012207031,376.6827096557617,379.2070098876953,381.73131011962886,0.0,1.0019063455381496,0.9997288783991874,0.6938789426100054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0997020951326789,1,-0.0997020951326789,1,0.0997020951326789,1,-0.0997020951326789,1
2023-01-05,386.3500061035156,387.4700012207031,375.0,375.6199951171875,375.6199951171875,1263800.0,-4.073348803200023,2.810702384997732,2.1664864920873526,2.6338999338039466,3.146587802389267,387.69199829101564,385.98399658203124,394.20933329264324,395.59666595458987,409.11249938964846,384.796977641469,386.96905503131194,391.9911738127144,397.40161519159483,405.01821184398847,387.7304879097312,391.2608307836931,-3.5303428739618994,-2.633929873122929,2.9018673228734135,-2.9018673228734135,-2.9018673228734135,-2.9018673228734135,2.9018673228734135,-2.9018673228734135,-2.9018673228734135,-2.9018673228734135,-2.9018673228734135,18.720001220703125,13.224502563476548,387.4700012207031,371.7172970581055,374.26299743652345,376.8086978149414,1.0,1.0044250583550332,0.9943869480993328,0.822539407925971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.073348803200023,1,-4.073348803200023,-1,-4.073348803200023,1,-4.073348803200023,1
2023-01-06,380.239990234375,389.3399963378906,370.6199951171875,386.5199890136719,386.5199890136719,1312700.0,2.9018673228734135,2.5128951090141847,2.324006920163213,2.7203714487901722,3.1654898613475058,386.8219970703125,385.30299682617186,394.018999226888,395.64733225504557,408.08539916992186,385.3713147655367,386.88740666446824,391.6381941482601,397.04484056281046,404.651910401804,387.54425731033746,390.90965731924706,-3.365400008909603,-2.7802239002802636,2.2819019908196188,-2.2819019908196188,-2.2819019908196188,-2.2819019908196188,2.2819019908196188,-2.2819019908196188,-2.2819019908196188,-2.2819019908196188,-2.2819019908196188,14.480010986328125,13.085502624511705,389.3399963378906,358.3760955810547,361.02099609375,363.66589660644536,1.0,1.0039423525294455,0.9960813097743282,0.8542976442414751,1.0,0.0,0.0,0.857039213,0.857039213,0.0621300935745239,0.0621300935745239,2.9018673228734135,-1,-2.9018673228734135,1,2.9018673228734135,-1,2.9018673228734135,-1
2023-01-09,391.1000061035156,402.6400146484375,388.1600036621094,395.3399963378906,395.3399963378906,1331600.0,2.2819019908196188,2.7338734245096075,2.2937878889454115,2.586982003951595,3.1751825526305266,388.04599609375,386.44199523925784,394.0019989013672,395.76866556803384,407.156999206543,388.694208622988,388.424241150545,391.8770200959782,396.98894403084586,404.4675160639047,388.7436017761149,391.2378305798873,-2.494228803772444,-2.7230248809787,-1.6846268335615695,1.6846268335615695,1.6846268335615695,1.6846268335615695,-1.6846268335615695,-1.6846268335615695,1.6846268335615695,1.6846268335615695,-1.6846268335615695,9.42999267578125,13.229502868652329,402.6400146484375,360.5518905639649,363.1689910888672,365.78609161376954,0.0,1.0041506898169776,1.0006950325027175,0.8866655761198448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2819019908196188,1,2.2819019908196188,1,-2.2819019908196188,1,-2.2819019908196188,1
2023-01-10,387.5799865722656,394.9599914550781,385.5299987792969,388.6799926757812,388.6799926757812,1069900.0,-1.6846268335615695,2.873280283554923,2.3803235939757923,2.5962431081428323,3.1731650470767607,387.54599609375,386.8609954833984,393.87566528320315,395.6503321329753,406.26079925537107,388.68946997391913,388.4707414278607,391.6707602624171,396.7165193962536,404.1548918383973,388.7338157606789,391.04836110550906,-2.314545344830151,-2.6413289737489904,1.705774675246291,-1.705774675246291,-1.705774675246291,-1.705774675246291,1.705774675246291,1.705774675246291,-1.705774675246291,-1.705774675246291,1.705774675246291,11.53997802734375,13.174000549316393,394.9599914550781,373.5351083374024,376.18100891113284,378.82690948486334,1.0,1.001770663412308,1.0005630502447997,0.9168338614015644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6846268335615695,1,-1.6846268335615695,1,-1.6846268335615695,1,-1.6846268335615695,1
2023-01-11,388.2799987792969,395.8299865722656,384.2900085449219,395.3099975585938,395.3099975585938,1587300.0,1.705774675246291,2.9879602805147583,2.4220038737971357,2.546406974309174,3.1368616286105766,388.293994140625,388.08099670410155,394.197998046875,395.9036656697591,405.4362991333008,390.89631250214404,389.7142425425394,391.90554976539624,396.6704039261664,403.97974541701507,389.7455360372812,391.36403787981163,-1.6185018425304065,-2.4367635475052736,0.3516264847896631,-0.3516264847896631,-0.3516264847896631,-0.3516264847896631,0.3516264847896631,0.3516264847896631,-0.3516264847896631,-0.3516264847896631,0.3516264847896631,12.239990234375,12.797499084472642,395.8299865722656,365.97719024658204,368.61199035644535,371.2467904663086,1.0,1.0005488478908589,1.003033171053469,0.9511456331343939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705774675246291,1,1.705774675246291,-1,1.705774675246291,1,1.705774675246291,-1
2023-01-12,398.2699890136719,398.2699890136719,386.0299987792969,396.7000122070312,396.7000122070312,1099000.0,0.3516264847896631,1.8251130928056802,2.311716806422962,2.3272414147222613,3.033115441516883,392.50999755859374,390.1009979248047,394.7643320719401,395.78633270263674,404.7637991333008,392.8308790704398,390.98438248153786,392.21486992292114,396.67137468947345,403.8355922841441,390.815455448012,391.75929523738347,-0.9438397893714523,-2.1381787958785097,-0.8797632076027474,0.8797632076027474,0.8797632076027474,0.8797632076027474,-0.8797632076027474,-0.8797632076027474,0.8797632076027474,0.8797632076027474,-0.8797632076027474,8.170013427734375,12.30149993896483,398.2699890136719,367.6754885864258,370.23498840332036,372.7944882202149,0.0,1.0061753229204848,1.0047226863057352,0.9933291801181047,1.0,0.0,1.0,0.990988314151764,0.496151500575882,0.996117353,0.500066421,0.3516264847896631,-1,-0.3516264847896631,-1,0.3516264847896631,1,-0.3516264847896631,-1
2023-01-13,390.0,394.6300048828125,386.4599914550781,393.2099914550781,393.2099914550781,1311100.0,-0.8797632076027474,1.674983036006637,2.034303175736366,2.290201598625101,3.0311230692571587,393.847998046875,390.3349975585937,394.2849985758464,395.5289993286133,404.23469909667966,392.9572498653192,391.3890386585452,392.2790713120926,396.5578867145752,403.62518434693493,391.18384560294527,391.866754216472,-0.6829086135267062,-1.847124759408149,-0.765489004210821,0.765489004210821,0.765489004210821,0.765489004210821,-0.765489004210821,-0.765489004210821,0.765489004210821,0.765489004210821,-0.765489004210821,8.540008544921875,11.682499694824205,394.6300048828125,371.20668914794925,373.6669891357422,376.1272891235352,0.0,1.008999962878691,1.0040067836650433,0.8882638004259706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8797632076027474,1,0.8797632076027474,-1,-0.8797632076027474,-1,0.8797632076027474,-1
2023-01-17,392.0,395.2900085449219,386.75,390.2000122070312,390.2000122070312,1658700.0,-0.765489004210821,1.314095955320282,2.0465518202225765,1.9640541197393535,3.025565655036343,392.82000122070315,390.43299865722656,393.42266540527345,395.33116607666017,403.64109924316404,392.0381706458899,391.17285203099715,392.1449384666048,396.34943181268847,403.3593393540655,391.0324866189585,391.74329184540227,-0.7108052264437674,-1.6198608528152727,-1.0584327918014262,1.0584327918014262,1.0584327918014262,1.0584327918014262,-1.0584327918014262,-1.0584327918014262,1.0584327918014262,1.0584327918014262,-1.0584327918014262,15.679992675781307,11.79449920654296,395.2900085449219,368.92850555419926,371.2650054931641,373.60150543212893,0.0,1.0061137316048745,1.0022121131627617,1.0420037816952676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.765489004210821,1,0.765489004210821,1,0.765489004210821,1,0.765489004210821,-1
