Date_TYL,Open_TYL,High_TYL,Low_TYL,Close_TYL,Adj Close_TYL,Volume_TYL,Daily Return(%)_TYL,Vol5_TYL,Vol10_TYL,Vol20_TYL,Vol60_TYL,SMA5_TYL,SMA10_TYL,SMA30_TYL,SMA60_TYL,SMA100_TYL,EMA5_TYL,EMA10_TYL,EMA30_TYL,EMA60_TYL,EMA100_TYL,Short12_TYL,Long26_TYL,MACD_TYL,SIGNAL9_TYL,Ret5/10_TYL,Ret10/30_TYL,Ret30/60_TYL,Ret30/100_TYL,Emaret5/10_TYL,Emaret10/30_TYL,Emaret30/60_TYL,Emaret30/100_TYL,RetMACD_TYL,DayRange_TYL,average20r_TYL,PRVHI_TYL,HitLevel_TYL,hitlevel_2_TYL,hitlevel_1.8_TYL,Hit?_TYL,Hit?_TYL.1,Hit?_TYL.2,HitAt_2.2_TYL,HitAt_2.0_TYL,HitAt_1.8_TYL,ExitPr_2.2_TYL,ExitPr_2.0_TYL,ExitPr_1.8_TYL,ret_2.2_TYL,Ret2.0_TYL,Ret_1.8_TYL
2011-01-03,20.94000053405762,21.02000045776367,20.6200008392334,20.71999931335449,20.71999931335449,235800,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.5100002288818288,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,20.70000076293945,20.79000091552734,20.28000068664551,20.45999908447266,20.45999908447266,242800,-1.25482740105234,,,,,,,,,,,,,,,,,,,-0.5470947193968865,0.3395272739872994,0.32466469496042205,0.38384598030454814,-0.5419973302731302,-0.24748891973922651,0.27223172647567007,0.6000109750556757,-0.4511403539520824,0.31999969482421875,,,,,,168.0,246.0,342.0,,,,,,,0.484601224249984,0.7024401918801148,0.5691963906589741
2011-01-05,20.42000007629395,20.60000038146973,20.28000068664551,20.44000053405762,20.44000053405762,222200,-0.09774463005824963,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26000022888182883,,,,,,,,,,,,,,,,,
2011-01-06,20.3799991607666,20.45000076293945,20.19000053405762,20.35000038146973,20.35000038146973,203500,-0.44031384655753897,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45000076293946023,,,,,,,,,,,,,,,,,
2011-01-07,20.35000038146973,20.44000053405762,19.98999977111816,20.36000061035156,20.36000061035156,216600,0.04914117294530778,,,,,20.46599998474121,,,,,20.46599998474121,,,,,,,,,,,,,,,,,,0.32000160217285156,,,,,,,,,,,,,,,,,
2011-01-10,20.27000045776367,20.53000068664551,20.20999908447266,20.45000076293945,20.45000076293945,266800,0.44204395820171133,0.639717682218032,,,,20.412000274658205,,,,,20.46066691080729,,,,,,,,,,,,,,,,,,0.36000061035155895,,,,,,,,,,,,,,,,,
2011-01-11,20.52000045776367,20.84000015258789,20.47999954223633,20.61000061035156,20.61000061035156,130900,0.7823953126792512,0.47570787372326123,,,,20.442000579833984,,,,,20.510444810655382,,,,,,,,,,,,,,,,,,0.3400001525878906,,,,,,,,,,,,,,,,,
2011-01-12,20.75,20.93000030517578,20.59000015258789,20.79999923706055,20.79999923706055,115900,0.9218758907438507,0.5562343372903198,,,,20.51400032043457,,,,,20.60696295279044,,,,,,,,,,,,,,,,,,0.1800003051757777,,,,,,,,,,,,,,,,,
2011-01-13,20.76000022888184,20.86000061035156,20.68000030517578,20.79999923706055,20.79999923706055,89900,0.0,0.41707601096727387,,,,20.60400009155273,,,,,20.67130838088048,,,,,,,,,,,,,,,,,,0.610000610351559,,,,,,,,,,,,,,,,,
2011-01-14,20.80999946594238,21.27000045776367,20.65999984741211,21.21999931335449,21.21999931335449,233700,2.019231210093508,0.7523861722959203,,,,20.77599983215332,20.620999908447267,,,,20.854205358371818,20.620999908447267,,,,,,,,-1.3666306199934741,-1.3666306199934741,0.0,0.0,1.3666306199934741,-1.3666306199934741,-1.3666306199934741,0.0,0.0,0.42000007629394887,,,,,,,,,,,,,,,,,
