Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,Apple Inc,169.58,0.76,0.45%,169.59,170.39,168.95,42104801,05-04-2024
ACN,Accenture Plc,333,2.53,0.77%,331.53,333.82,330.33,3694700,05-04-2024
ADBE,Adobe Systems Inc,485.12,-1.99,-0.41%,488.84,490.09,481.28,4972600,05-04-2024
ADI,Analog Devices,194.76,2.81,1.46%,192.63,195.66,191.17,2087400,05-04-2024
ADSK,Autodesk Inc,244.74,-0.07,-0.03%,246,248.28,244.07,1330000,05-04-2024
AKAM,Akamai Technologies,106.24,0.25,0.24%,105.78,106.88,105.78,919200,05-04-2024
AMAT,Applied Materials,207.85,4.46,2.19%,204.9,209.53,204.9,3330600,05-04-2024
AMD,Adv Micro Devices,170.42,4.59,2.77%,168.1,172.69,165.58,66080203,05-04-2024
ANET,Arista Networks Inc,297.6,8.83,3.06%,291.02,298.25,290,1452600,05-04-2024
ANSS,Ansys Inc,341.87,0.69,0.20%,341.4,345.13,340.95,283500,05-04-2024
APH,Amphenol Corp,117.38,2.28,1.98%,115.64,117.59,115.5678,3379600,05-04-2024
AVGO,Broadcom Ltd,1339.43,21.93,1.66%,1326,1361.23,1314.19,1943800,05-04-2024
CDNS,Cadence Design Sys,308.02,1.54,0.50%,309.12,310.8,307.12,1075800,05-04-2024
CDW,CDW Corp,255.19,2.65,1.05%,253.78,256.44,252.53,984400,05-04-2024
CRM,Salesforce Inc,301.91,7.77,2.64%,293.54,303.415,293.295,4918100,05-04-2024
CSCO,Cisco Systems Inc,48.55,0.44,0.91%,47.96,48.67,47.89,18661199,05-04-2024
CTSH,Cognizant Tech Sol,71.13,-0.48,-0.67%,71.5,71.75,71.07,5175800,05-04-2024
ENPH,Enphase Energy Inc,112.27,-8.51,-7.05%,113.58,117.58,112.25,6284200,05-04-2024
EPAM,Epam Systems Inc,264.36,-1.5,-0.56%,264.05,267.825,263.6,289400,05-04-2024
FFIV,F5 Inc,192.42,3.94,2.09%,189.43,192.66,189.23,323600,05-04-2024
FICO,Fair Isaac and Company,1231.65,11.8,0.97%,1221.89,1243.4,1221.89,80300,05-04-2024
FSLR,First Solar Inc,174.6,3.14,1.83%,167.35,176.29,167.01,2343800,05-04-2024
FTNT,Fortinet Inc,70.91,1.68,2.43%,69.75,71.83,69.34,7475300,05-04-2024
GEN,Gen Digital Inc,22.15,0.12,0.54%,21.97,22.23,21.87,2970100,05-04-2024
GLW,Corning Inc,32.54,0.17,0.53%,32.33,32.645,32.275,4540600,05-04-2024
HPE,Hewlett Packard Enterprise Comp,18,0.06,0.33%,17.89,18.12,17.72,13148800,05-04-2024
HPQ,HP Inc,29.11,-0.53,-1.79%,29.53,29.6,29.045,5160700,05-04-2024
IBM,International Business Machines,189.14,1.2,0.64%,188.59,190.32,188.02,2014200,05-04-2024
INTC,Intel Corp,38.71,-1.02,-2.57%,39.35,39.46,38.51,67263000,05-04-2024
INTU,Intuit Inc,635.74,14.46,2.33%,623.5,637.25,621.55,1619800,05-04-2024
IT,Gartner Inc,470.36,6.02,1.30%,465.41,472.535,465.41,233200,05-04-2024
JBL,Jabil Circuit,140.47,4.59,3.38%,136.93,140.625,136.3,1147700,05-04-2024
JNPR,Juniper Networks,37.07,0.1,0.27%,37.05,37.12,37,2133500,05-04-2024
KEYS,Keysight Technologies Inc,157.23,2.38,1.54%,154.69,157.59,154.26,952500,05-04-2024
KLAC,K L A-Tencor Corp,682.84,10.09,1.50%,674.07,688.83,674.07,790800,05-04-2024
LRCX,Lam Research Corp,968.58,16.95,1.78%,965.9,977.73,960.5,804700,05-04-2024
MCHP,Microchip Technology,87.57,1.31,1.52%,86.18,88.1,85.9,3585200,05-04-2024
MPWR,Monolithic Power Sys,654.31,11.17,1.74%,643.66,659.06,643.66,406700,05-04-2024
MSFT,Microsoft Corp,425.52,7.64,1.83%,420.01,426.51,418.32,16554699,05-04-2024
MSI,Motorola Solutions,352.3,4.37,1.26%,348.94,352.64,348.15,421900,05-04-2024
MU,Micron Technology,123.58,-0.51,-0.41%,124.4,125.69,121.2,23326500,05-04-2024
NOW,Servicenow Inc,783.5,25.95,3.43%,758.43,791.88,758.43,1286400,05-04-2024
NTAP,Netapp Inc,105.05,0.25,0.24%,105.35,105.46,104.17,1017100,05-04-2024
NVDA,Nvidia Corp,880.08,21.03,2.45%,868.66,884.81,859.26,39967801,05-04-2024
NXPI,Nxp Semiconductors,241.01,1.84,0.77%,240.25,241.52,238.85,1617500,05-04-2024
ON,On Semiconductor,69.32,0.22,0.32%,69.1,69.67,68.11,7565400,05-04-2024
ORCL,Oracle Corp,124.9,0.71,0.57%,124.42,125.995,124.14,4899400,05-04-2024
PANW,Palo Alto Networks Inc,269.01,3.81,1.44%,265.78,269.7,265.25,3681700,05-04-2024
PTC,Ptc Inc,185.28,2.33,1.27%,183.27,186.05,182.51,499500,05-04-2024
QCOM,Qualcomm Inc,171.53,1.77,1.04%,170.18,172.24,169.71,5863300,05-04-2024
QRVO,Qorvo Inc,115.09,2.09,1.85%,112.67,115.17,112.67,758900,05-04-2024
ROP,Roper Industries,543.01,5.73,1.07%,537.52,545.8,536.87,338800,05-04-2024
SMCI,Super Micro Computer,948.02,-9.97,-1.04%,968,981.99,932.02,5344400,05-04-2024
SNPS,Synopsys Inc,575.45,8.34,1.47%,571.02,578.9,570.08,774100,05-04-2024
STX,Seagate Technology Hldgs Plc,89.99,-0.77,-0.85%,91.38,91.38,89.65,2598000,05-04-2024
SWKS,Skyworks Solutions,105.48,0.74,0.71%,104.86,105.72,104.13,1395300,05-04-2024
TDY,Teledyne Technologies Inc,416.86,0.01,0.00%,415.62,418.87,413.11,218600,05-04-2024
TEL,Te Connectivity Ltd,144.65,0.17,0.12%,144.73,145.79,143.46,1105700,05-04-2024
TER,Teradyne Inc,107.27,1.32,1.25%,105.87,107.73,105.7,1143800,05-04-2024
TRMB,Trimble Navigation,61.45,-0.04,-0.07%,61.25,61.74,60.85,2794000,05-04-2024
TXN,Texas Instruments,167.5,-1.03,-0.61%,168.57,169.25,167.14,5012300,05-04-2024
TYL,Tyler Technologies,415.18,0.41,0.10%,415.28,419.88,413.97,210300,05-04-2024
VRSN,Verisign Inc,187.82,0.79,0.42%,187.4,190.06,187.4,458600,05-04-2024
WDC,Western Digital Cp,73.11,2.57,3.64%,73.16,73.46,70.79,8263700,05-04-2024
ZBRA,Zebra Technologies,290.38,-2.58,-0.88%,291.91,292.19,287.57,216700,05-04-2024
