time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-02-23,2,0,15,0.8662412166595459,0.14022528930389153,0.9981162548065186,0.856288405463976
2018-02-26,0,0,4,0.20681032538414,0.06532570291892623,0.997452676296234,0.926985040307045
2018-03-02,2,0,0,0.9117100834846495,0.7197177112102509,0.4522294998168945,0.25381338410079474
2018-03-19,1,0,0,0.9963821172714232,0.9963821172714232,0.0022071006242185,0.0022071006242185
2018-03-26,0,0,2,0.0066232299432158,0.00390359089942645,0.997765064239502,0.995160311460495
2018-05-23,0,1,0,0.0018281169468536,0.0018281169468536,0.004767361562699,0.004767361562699
2018-05-25,0,1,0,0.0582482144236564,0.0582482144236564,0.0310857128351926,0.0310857128351926
2018-06-01,0,2,0,0.3096911609172821,0.1985851228237152,0.2128645628690719,0.140270784497261
2018-06-25,0,0,1,0.0240115132182836,0.0240115132182836,0.9732306599617004,0.9732306599617004
2018-07-10,0,0,2,0.0028124502860009,0.002569907461293,0.9945565462112428,0.9705640375614166
2018-08-02,0,6,0,0.0296844262629747,0.02828175264100227,0.0570391155779361,0.05220804736018173
2018-08-06,0,1,0,0.0371304452419281,0.0371304452419281,0.0426381416618824,0.0426381416618824
2018-08-17,0,0,2,0.0933091938495636,0.0933091938495636,0.7213306427001953,0.7213306427001953
2018-09-24,1,0,0,0.9143930673599244,0.9143930673599244,0.0730047523975372,0.0730047523975372
2018-11-06,0,1,0,0.2571143507957458,0.2571143507957458,0.264555960893631,0.264555960893631
2018-11-16,0,0,1,0.0013918597251176,0.0013918597251176,0.997316300868988,0.997316300868988
2018-11-23,0,1,0,0.0130499536171555,0.0130499536171555,0.0250255279242992,0.0250255279242992
2018-11-27,0,0,2,0.213774561882019,0.10902770143002265,0.9826934337615968,0.8556605279445648
2018-12-03,0,0,1,0.0150053557008504,0.0150053557008504,0.9419867992401124,0.9419867992401124
2018-12-04,0,0,1,0.0122445309534668,0.0122445309534668,0.9594322443008424,0.9594322443008424
2018-12-05,0,1,1,0.0015638675540685,0.00128355453489345,0.9983691573143004,0.500569267431274
2018-12-10,0,0,1,0.0011122766882181,0.0011122766882181,0.9980753660202026,0.9980753660202026
2018-12-19,0,0,1,0.0351769365370273,0.0351769365370273,0.963260054588318,0.963260054588318
2018-12-21,0,2,0,0.3116932809352875,0.23458714038133618,0.2422513216733932,0.1612050831317901
2019-01-09,1,0,0,0.5214599967002869,0.5214599967002869,0.4751888513565063,0.4751888513565063
2019-01-24,0,0,1,0.0099209928885102,0.0099209928885102,0.964588224887848,0.964588224887848
2019-01-31,0,0,1,0.0009929405059665,0.0009929405059665,0.9982353448867798,0.9982353448867798
2019-02-06,0,2,0,0.3785642087459564,0.33730529248714447,0.1027906462550163,0.10225638747215265
2019-02-18,0,0,1,0.000950947694946,0.000950947694946,0.9982945322990416,0.9982945322990416
2019-02-19,0,0,1,0.1541877835988998,0.1541877835988998,0.8357309699058533,0.8357309699058533
2019-02-22,2,1,0,0.9160013794898988,0.5957391355962803,0.129521369934082,0.07285420487945272
2019-02-25,0,0,1,0.0053495480678975,0.0053495480678975,0.9942323565483092,0.9942323565483092
2019-03-06,0,1,0,0.0063616666011512,0.0063616666011512,0.0018687681294977,0.0018687681294977
2019-03-07,0,0,1,0.0078762602061033,0.0078762602061033,0.991610586643219,0.991610586643219
2019-03-12,1,0,0,0.9823066592216492,0.9823066592216492,0.0142223769798874,0.0142223769798874
2019-03-20,0,0,1,0.3519394397735595,0.3519394397735595,0.6084297299385071,0.6084297299385071
2019-03-21,0,1,0,0.0012240626383572,0.0012240626383572,0.0023449980653822,0.0023449980653822
2019-03-22,0,1,0,0.0085638277232646,0.0085638277232646,0.0157225336879491,0.0157225336879491
2019-03-25,0,0,1,0.202034905552864,0.202034905552864,0.7960765361785889,0.7960765361785889
2019-03-26,0,1,0,0.0169135704636573,0.0169135704636573,0.0108130611479282,0.0108130611479282
2019-03-27,4,2,0,0.703702449798584,0.45789981276417774,0.0356461852788925,0.023979506532972036
2019-04-01,2,1,0,0.7787977457046509,0.5552662412325541,0.0428604856133461,0.04035307591160133
2019-04-03,0,0,1,0.0021095254924148,0.0021095254924148,0.9878461956977844,0.9878461956977844
2019-04-17,0,1,0,0.1537177711725235,0.1537177711725235,0.0517436228692531,0.0517436228692531
2019-04-23,0,1,0,0.0200283918529748,0.0200283918529748,0.2253827601671219,0.2253827601671219
2019-05-01,1,0,0,0.5091711282730103,0.5091711282730103,0.1466679573059082,0.1466679573059082
2019-05-13,2,0,0,0.98502779006958,0.8911506533622742,0.0692316740751266,0.040582713205367306
2019-05-14,0,1,0,0.2450829446315765,0.2450829446315765,0.084594689309597,0.084594689309597
2019-05-16,1,0,0,0.9407463669776917,0.9407463669776917,0.0418340489268302,0.0418340489268302
2019-05-20,2,0,0,0.9227519631385804,0.7698008716106415,0.3812693357467651,0.22871203720569605
2019-05-27,1,1,0,0.9654698967933656,0.4874928612262011,0.1018843203783035,0.06780706346035
2019-05-28,0,0,2,0.0190604943782091,0.012071548495441651,0.9793689250946044,0.9688417613506316
2019-05-31,2,0,1,0.9832556247711182,0.7084129651387533,0.7091765403747559,0.2470763325691223
2019-06-06,0,0,1,0.0075016478076577,0.0075016478076577,0.8812911510467529,0.8812911510467529
