time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-02-23,1,1,6,0.8662412166595459,0.16756398552388413,0.9981162548065186,0.7041629671293776
2018-03-01,0,0,1,0.0010547043057158,0.0010547043057158,0.9982536435127258,0.9982536435127258
2018-03-02,1,0,1,0.527725338935852,0.2701802174560725,0.985353410243988,0.7187914550304413
2018-03-26,0,0,1,0.0011839518556371,0.0011839518556371,0.997765064239502,0.997765064239502
2018-03-29,0,1,0,0.0068871486000716,0.0068871486000716,0.0026441137306392,0.0026441137306392
2018-04-03,1,0,0,0.9925578832626344,0.9925578832626344,0.0046857106499373,0.0046857106499373
2018-04-11,0,1,0,0.0024553583934903,0.0024553583934903,0.0180870834738016,0.0180870834738016
2018-05-30,0,1,0,0.0020850643049925,0.0020850643049925,0.0040886225178837,0.0040886225178837
2018-07-16,0,0,2,0.0099740456789731,0.00582797487732015,0.9975125789642334,0.8566877245903015
2018-08-13,0,2,0,0.0236836541444063,0.0236836541444063,0.0311195030808448,0.0311195030808448
2018-08-17,0,0,1,0.0011224132031202,0.0011224132031202,0.9981194138526917,0.9981194138526917
2018-08-24,1,2,0,0.9789880514144896,0.3275563511221359,0.0199005529284477,0.010051455038289166
2018-08-27,0,0,1,0.0027194172143936,0.0027194172143936,0.99525249004364,0.99525249004364
2018-09-24,0,0,1,0.0010118478676304,0.0010118478676304,0.9979459643363952,0.9979459643363952
2018-10-04,0,0,1,0.0057809553109109,0.0057809553109109,0.9707252979278564,0.9707252979278564
2018-10-11,2,0,0,0.9886115193367004,0.9740138351917267,0.0386605598032474,0.02427941979840395
2018-10-15,1,0,1,0.6539850234985352,0.32794525602366775,0.9974011182785034,0.6687145978212357
2018-11-12,0,0,1,0.1761587709188461,0.1761587709188461,0.5028854012489319,0.5028854012489319
2018-11-16,1,1,0,0.7403821349143982,0.3731706119142473,0.2552001476287842,0.13172717858105895
2018-11-22,0,0,1,0.0171354822814464,0.0171354822814464,0.965806484222412,0.965806484222412
2018-11-23,0,0,1,0.0018769118469208,0.0018769118469208,0.9965818524360656,0.9965818524360656
2018-11-29,0,1,0,0.0014356260653585,0.0014356260653585,0.0013284096494317,0.0013284096494317
2018-11-30,1,2,4,0.9526922702789308,0.1765449743917478,0.997549831867218,0.5942379276800368
2018-12-03,1,0,1,0.8290456533432007,0.41542981157545,0.9969744682312012,0.5821880400180817
2018-12-04,0,0,1,0.004369537346065,0.004369537346065,0.9948318004608154,0.9948318004608154
2018-12-10,1,0,0,0.9414633512496948,0.9414633512496948,0.0274248998612165,0.0274248998612165
2018-12-11,0,0,1,0.0013729059137403,0.0013729059137403,0.9966415166854858,0.9966415166854858
2018-12-13,2,0,0,0.9212552905082704,0.9212552905082704,0.0760023519396781,0.0760023519396781
2018-12-19,0,0,1,0.0062765516340732,0.0062765516340732,0.9804719090461732,0.9804719090461732
2018-12-24,1,0,0,0.7544611096382141,0.7544611096382141,0.243704468011856,0.243704468011856
2019-01-03,1,0,0,0.9929733276367188,0.9929733276367188,0.0049326438456773,0.0049326438456773
2019-01-11,0,1,0,0.0016793815884739,0.0016793815884739,0.0019701474811881,0.0019701474811881
2019-01-15,0,1,0,0.0006312924087978,0.0006312924087978,0.0010379061568528,0.0010379061568528
2019-02-08,0,1,0,0.0069705885834991,0.0069705885834991,0.030777134001255,0.030777134001255
2019-02-11,2,0,0,0.9914698004722596,0.9914698004722596,0.0073599154129624,0.0073599154129624
2019-02-22,0,0,1,0.0013413609704002,0.0013413609704002,0.99806147813797,0.99806147813797
2019-02-28,14,1,0,0.9955326318740844,0.8576590167824178,0.3781902492046356,0.073132943160211
2019-03-01,2,0,3,0.9954386353492736,0.394516606000252,0.998301088809967,0.604564356477931
2019-03-04,1,0,1,0.9868896007537842,0.6096389517188072,0.7552511096000671,0.3813436613418162
2019-03-05,0,0,1,0.2980139553546905,0.2980139553546905,0.7007083296775818,0.7007083296775818
2019-03-06,0,0,1,0.0110822096467018,0.0110822096467018,0.9431532621383668,0.9431532621383668
2019-03-07,0,1,0,0.00419268803671,0.00419268803671,0.1005368381738662,0.1005368381738662
2019-03-13,0,0,1,0.0062652849592268,0.0062652849592268,0.9283395409584044,0.9283395409584044
2019-03-18,1,0,0,0.8968049883842468,0.8968049883842468,0.1006954312324523,0.1006954312324523
2019-03-19,0,0,1,0.0044454233720898,0.0044454233720898,0.9682466387748718,0.9682466387748718
2019-03-20,0,0,2,0.3519394397735595,0.17816991056315595,0.9373471140861512,0.7728884220123291
2019-03-21,0,0,1,0.0018006933387368,0.0018006933387368,0.9938225746154784,0.9938225746154784
2019-03-22,0,3,0,0.4116562902927398,0.2756778184945384,0.1379936635494232,0.12533396482467649
2019-03-25,1,1,0,0.9540988802909852,0.6213276535272598,0.120747797191143,0.0816220231354236
2019-03-27,4,0,0,0.703702449798584,0.6858640313148499,0.0356461852788925,0.03408326767385005
2019-03-28,0,0,2,0.0179736912250518,0.012500324752181699,0.9849141240119934,0.8457672894001007
2019-04-01,2,1,1,0.7787977457046509,0.3993933941819705,0.962308406829834,0.2886468023061752
