time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-02-13,0,1,0,0.2887957096099853,0.2887957096099853,0.0605427958071231,0.0605427958071231
2018-02-19,1,0,0,0.9680083990097046,0.9680083990097046,0.0192400123924016,0.0192400123924016
2018-02-21,1,0,0,0.9611282348632812,0.9611282348632812,0.0336477197706699,0.0336477197706699
2018-02-22,0,1,0,0.0104851052165031,0.0104851052165031,0.4089833498001098,0.4089833498001098
2018-02-23,0,1,1,0.020091887563467,0.0114449287066236,0.9942083358764648,0.6733244061470032
2018-02-26,0,1,0,0.003755731973797,0.003755731973797,0.0094112986698746,0.0094112986698746
2018-02-27,0,0,1,0.0136444885283708,0.0136444885283708,0.9726673364639282,0.9726673364639282
2018-03-02,0,3,0,0.075342521071434,0.031166371578971497,0.3439907133579254,0.13317087331476307
2018-03-05,0,0,1,0.0017185355536639,0.0017185355536639,0.9971032738685608,0.9971032738685608
2018-03-06,0,2,0,0.3001770973205566,0.15531958872452375,0.1687156409025192,0.1557248011231422
2018-03-07,0,0,1,0.0058852895162999,0.0058852895162999,0.8899142146110535,0.8899142146110535
2018-03-12,0,0,2,0.0113181993365287,0.009423142299056,0.9814440011978148,0.8879901170730591
2018-03-13,0,0,1,0.0155432242900133,0.0155432242900133,0.9815338253974916,0.9815338253974916
2018-03-14,0,0,2,0.0763365402817726,0.050777948461472946,0.7566924691200256,0.6456768214702606
2018-03-19,0,0,1,0.0026634710375219,0.0026634710375219,0.9848291277885436,0.9848291277885436
2018-03-23,0,2,2,0.0549572482705116,0.021837495733052423,0.9390361309051514,0.5153080523014069
2018-03-26,0,2,0,0.1098082289099693,0.10553608462214464,0.4299816489219665,0.42667360603809357
2018-03-27,0,1,1,0.1214475333690643,0.0687829842790961,0.7797600626945496,0.4426870718598366
2018-03-30,0,1,1,0.0177485104650259,0.010365346446633299,0.9940471649169922,0.5014821756631136
2018-04-04,0,1,0,0.0173788890242576,0.0173788890242576,0.0709718912839889,0.0709718912839889
2018-04-10,0,1,0,0.0014088079333305,0.0014088079333305,0.0036987022031098,0.0036987022031098
2018-04-11,0,2,0,0.0788928046822547,0.0735329426825046,0.4442530274391174,0.3645851463079452
2018-04-16,0,1,0,0.0197876598685979,0.0197876598685979,0.0346131809055805,0.0346131809055805
2018-04-17,0,1,1,0.0153025267645716,0.008531798957847,0.9958288073539734,0.5933821052312851
2018-04-23,0,0,2,0.0661843940615654,0.04210614319890735,0.931218683719635,0.9141342639923096
2018-04-26,0,2,0,0.0279149562120437,0.0260048815980553,0.1296826601028442,0.0950416531413793
2018-04-27,0,1,1,0.006889380980283,0.00488886493258175,0.9964163303375244,0.5225459840148687
