time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-02-19,1,0,0,0.972097098827362,0.972097098827362,0.0259710866957902,0.0259710866957902
2018-02-23,0,0,1,0.0018271504668518,0.0018271504668518,0.9944254159927368,0.9944254159927368
2018-02-27,0,1,2,0.0014415774494409,0.0012356129785378333,0.9975685477256776,0.6661722741555423
2018-03-20,0,0,1,0.0014478956582024,0.0014478956582024,0.9973968267440796,0.9973968267440796
2018-04-11,0,0,2,0.1168564110994339,0.05924699321622025,0.9948005676269532,0.9352774322032928
2018-04-27,0,0,1,0.0013492985162883,0.0013492985162883,0.9971821308135986,0.9971821308135986
2018-04-30,1,0,0,0.6439443826675415,0.6439443826675415,0.3509092926979065,0.3509092926979065
2018-06-12,0,0,1,0.0024323011748492,0.0024323011748492,0.99350243806839,0.99350243806839
2018-06-29,0,0,1,0.0012915977276861,0.0012915977276861,0.9957406520843506,0.9957406520843506
2018-07-16,0,0,1,0.0050028800033032,0.0050028800033032,0.991201639175415,0.991201639175415
2018-08-09,0,0,2,0.0180881544947624,0.0180881544947624,0.972305417060852,0.972305417060852
2018-09-07,2,0,1,0.9891748428344728,0.6625638740758102,0.9874510765075684,0.3348709462831417
2018-09-11,1,0,0,0.9561558961868286,0.9561558961868286,0.0404806584119796,0.0404806584119796
2018-10-22,0,1,0,0.038437508046627,0.038437508046627,0.1919587105512619,0.1919587105512619
2018-11-12,0,1,1,0.0026304209604859,0.0025252663763239503,0.9971126317977904,0.49990166258066887
2018-11-22,0,0,1,0.4208848774433136,0.4208848774433136,0.4975509643554687,0.4975509643554687
2018-11-23,0,0,1,0.0067425435408949,0.0067425435408949,0.992464542388916,0.992464542388916
2018-11-26,1,0,0,0.9482079744338988,0.9482079744338988,0.0466884449124336,0.0466884449124336
2018-11-27,0,0,1,0.0116752861067652,0.0116752861067652,0.9865135550498962,0.9865135550498962
2018-11-30,1,0,0,0.99345064163208,0.99345064163208,0.0049125016666948,0.0049125016666948
2018-12-03,0,0,2,0.2995145916938782,0.16068209428340194,0.9760665893554688,0.837007462978363
2018-12-05,1,0,0,0.9887549877166748,0.9887549877166748,0.0045646266080439,0.0045646266080439
2018-12-07,1,0,0,0.9594603776931764,0.9594603776931764,0.0384709946811199,0.0384709946811199
2018-12-12,2,0,0,0.9812160134315492,0.9812160134315492,0.0162232462316751,0.0162232462316751
2018-12-14,0,0,1,0.0020836137700825,0.0020836137700825,0.9970614314079284,0.9970614314079284
2018-12-17,0,1,0,0.0029529579915106,0.0029529579915106,0.0389188900589942,0.0389188900589942
2018-12-21,0,0,1,0.0685556158423423,0.0685556158423423,0.6959441304206848,0.6959441304206848
2018-12-27,0,0,3,0.0089461160823702,0.0089461160823702,0.9903520941734314,0.9903520941734314
2019-01-15,0,0,1,0.0096325473859906,0.0096325473859906,0.9881707429885864,0.9881707429885864
2019-01-21,0,0,1,0.0127806346863508,0.0127806346863508,0.9838479161262512,0.9838479161262512
2019-01-28,0,0,1,0.0020893649198114,0.0020893649198114,0.9961579442024232,0.9961579442024232
2019-01-30,0,1,0,0.0186066720634698,0.0186066720634698,0.0295889247208833,0.0295889247208833
2019-02-04,0,0,2,0.0077271377667784,0.0077271377667784,0.9221400022506714,0.9221400022506714
2019-02-06,0,0,1,0.0076469993218779,0.0076469993218779,0.9023222923278807,0.9023222923278807
2019-02-07,1,0,0,0.9914566874504088,0.9914566874504088,0.0072340322658419,0.0072340322658419
2019-02-11,0,0,2,0.0017231017118319,0.0017231017118319,0.9962724447250366,0.9962724447250366
2019-02-19,0,0,3,0.0029020118527114,0.0026863152161240335,0.9755573868751526,0.9676873485247294
2019-02-25,0,0,2,0.0019845787901431,0.00149054499343035,0.998369038105011,0.9975348114967346
2019-02-27,0,0,1,0.0011895421193912,0.0011895421193912,0.9973859190940856,0.9973859190940856
2019-02-28,0,0,2,0.0036726368125528,0.00357267132494595,0.994126558303833,0.9921121597290039
2019-03-01,0,0,2,0.0014854891924187,0.0014854891924187,0.996791660785675,0.996791660785675
2019-03-05,0,0,1,0.0013861571205779,0.0013861571205779,0.997133731842041,0.997133731842041
2019-03-06,0,0,3,0.0986975729465484,0.0562190221001704,0.9828932881355286,0.8735663294792175
2019-03-08,1,0,0,0.5810854434967041,0.5810854434967041,0.415980190038681,0.415980190038681
2019-03-12,0,0,2,0.0079840822145342,0.00484590115956955,0.9949797987937928,0.9185893833637238
2019-03-13,0,1,0,0.0017156115500256,0.0017156115500256,0.0039833923801779,0.0039833923801779
2019-03-19,0,0,1,0.0010391476098448,0.0010391476098448,0.9980170726776124,0.9980170726776124
2019-03-28,0,0,1,0.0037473400589078,0.0037473400589078,0.9956730008125304,0.9956730008125304
2019-03-29,1,0,0,0.9866650104522704,0.9866650104522704,0.0081620942801237,0.0081620942801237
2019-04-02,1,0,0,0.7751384973526001,0.7751384973526001,0.2149771898984909,0.2149771898984909
2019-04-11,0,1,0,0.0048432848416268,0.0048432848416268,0.0281706787645816,0.0281706787645816
2019-04-15,0,0,2,0.0161849241703748,0.0090253765229135,0.997016668319702,0.8625021278858185
2019-04-17,0,0,1,0.0161498542875051,0.0161498542875051,0.500455379486084,0.500455379486084
2019-04-18,0,0,1,0.0712798163294792,0.0712798163294792,0.9254539608955384,0.9254539608955384
2019-05-06,0,0,1,0.0996046885848045,0.0996046885848045,0.8987811207771301,0.8987811207771301
2019-05-17,0,1,0,0.1723772883415222,0.1723772883415222,0.4037525653839111,0.4037525653839111
2019-05-20,0,0,1,0.4663534164428711,0.4663534164428711,0.5295208096504211,0.5295208096504211
2019-05-29,0,2,0,0.0005522018182091,0.0005234416166785499,0.0006148342508822,0.0005903101991861499
