time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-02-12,0,0,3,0.0487361699342727,0.04457034667332963,0.906037986278534,0.9042211771011354
2018-02-15,0,0,1,0.0411888808012008,0.0411888808012008,0.5957680344581604,0.5957680344581604
2018-02-19,1,1,0,0.707393229007721,0.36569736152887344,0.2405689358711242,0.2327710017561912
2018-02-21,0,0,1,0.0260807685554027,0.0260807685554027,0.8840647339820862,0.8840647339820862
2018-02-23,1,1,3,0.5701671242713928,0.2112552802078426,0.9896644949913024,0.5916101187467575
2018-02-27,0,1,0,0.0189203303307294,0.0189203303307294,0.0491535440087318,0.0491535440087318
2018-03-02,0,1,1,0.0085765132680535,0.00789742893539365,0.8967980146408081,0.4614273961633443
2018-03-05,0,1,1,0.0558591596782207,0.0442601423710584,0.6445479393005371,0.5638090521097183
2018-03-06,1,1,1,0.6385208964347839,0.29968088120222086,0.8711732029914856,0.3440612507984042
2018-03-12,1,1,1,0.6781906485557556,0.24861389709015683,0.9699143767356871,0.4327149416009584
2018-03-13,3,6,0,0.732704758644104,0.2700254523919688,0.4110177457332611,0.14369317322658992
2018-03-14,2,2,1,0.9676658511161804,0.4255146382376552,0.9918274879455566,0.23349497839808458
2018-03-15,2,0,0,0.9596068859100342,0.9496346712112427,0.0334985367953777,0.027753681875765296
2018-03-16,0,1,1,0.0357145443558692,0.01854964729864145,0.925440788269043,0.4644996038405224
2018-03-21,1,0,0,0.7192786335945129,0.7192786335945129,0.1462168097496032,0.1462168097496032
2018-03-23,1,1,2,0.9371935725212096,0.26603243584395375,0.997501790523529,0.5129363029263914
2018-03-26,1,0,0,0.9464248418807985,0.9464248418807985,0.0340061336755752,0.0340061336755752
2018-04-02,0,1,0,0.0022137705236673,0.0022137705236673,0.0025175923947244,0.0025175923947244
2018-04-03,3,0,0,0.973041832447052,0.9561199943224589,0.0362923666834831,0.026467590282360665
2018-04-11,2,0,0,0.9391990900039672,0.923353761434555,0.0779429674148559,0.06817747652530665
2018-04-13,0,0,1,0.0077059706673026,0.0077059706673026,0.9495153427124025,0.9495153427124025
2018-04-16,0,0,3,0.0917903035879135,0.07617767279346783,0.6674942970275879,0.6377649307250977
2018-04-17,2,0,0,0.558442234992981,0.5554172396659851,0.4333479702472687,0.390254870057106
2018-04-19,1,0,0,0.5880681276321411,0.5880681276321411,0.2806092202663421,0.2806092202663421
2018-04-20,0,1,0,0.0981594398617744,0.0981594398617744,0.0136213088408112,0.0136213088408112
2018-04-23,1,0,0,0.9821966886520386,0.9821966886520386,0.0132827777415514,0.0132827777415514
2018-04-26,5,0,0,0.9667884707450868,0.8012132048606873,0.1949283182621002,0.10258482843637465
2018-04-27,0,0,1,0.0035391782876104,0.0035391782876104,0.9953798055648804,0.9953798055648804
2018-04-30,0,1,1,0.004241207614541,0.0029966165311634,0.9955422282218932,0.5319053791463374
2018-05-01,0,0,3,0.0837567299604415,0.07273477440079047,0.9323750138282776,0.913312037785848
2018-05-07,0,1,1,0.0456691421568393,0.0241791016887873,0.996311604976654,0.5911683887243271
2018-05-08,0,0,3,0.4194462299346924,0.2426526794830958,0.8668947815895081,0.7386646072069804
2018-05-10,0,0,1,0.2434695959091186,0.2434695959091186,0.7132528424263,0.7132528424263
2018-05-14,0,4,0,0.21530182659626,0.1531109847128391,0.1161512956023216,0.05045130103826517
2018-05-15,1,0,0,0.9260739088058472,0.9260739088058472,0.0690893903374672,0.0690893903374672
2018-05-21,0,1,0,0.2153471410274505,0.2153471410274505,0.2023044377565384,0.2023044377565384
2018-05-25,0,1,0,0.1059134602546691,0.1059134602546691,0.2645770311355591,0.2645770311355591
2018-05-28,0,0,1,0.0225933585315942,0.0225933585315942,0.7928281426429749,0.7928281426429749
2018-05-31,0,0,1,0.0019882095512002,0.0019882095512002,0.993009090423584,0.993009090423584
2018-06-01,0,2,1,0.0403475984930992,0.0254730004817247,0.93139386177063,0.41582160132626694
2018-06-08,0,0,1,0.0149020785465836,0.0149020785465836,0.9632853865623474,0.9632853865623474
2018-06-13,2,0,0,0.6666082739830017,0.5984114706516266,0.2496277093887329,0.21943327784538263
2018-06-18,0,1,0,0.2499013245105743,0.2499013245105743,0.1817673593759536,0.1817673593759536
2018-06-21,0,1,0,0.0019838362932205,0.0019838362932205,0.0061943065375089,0.0061943065375089
2018-06-25,1,0,0,0.4876270294189453,0.4876270294189453,0.220435619354248,0.220435619354248
2018-06-26,0,0,1,0.0020301241893321,0.0020301241893321,0.98460590839386,0.98460590839386
2018-07-06,0,0,1,0.0330577529966831,0.0330577529966831,0.959875226020813,0.959875226020813
2018-07-10,0,1,1,0.2310034036636352,0.12024239450693125,0.557854950428009,0.28352200984954834
2018-07-11,0,1,0,0.0199575759470462,0.0199575759470462,0.0192392524331808,0.0192392524331808
2018-07-16,1,2,1,0.9835216999053956,0.25069396785693243,0.9975717663764954,0.2570518860593438
2018-07-17,0,1,0,0.0041677649132907,0.0041677649132907,0.068817414343357,0.068817414343357
2018-07-25,0,0,1,0.0065069422125816,0.0065069422125816,0.9136863350868224,0.9136863350868224
2018-07-26,8,2,0,0.9947804808616638,0.7435012584901415,0.2001630365848541,0.03119132358115161
2018-07-27,3,1,1,0.9116706252098083,0.5624732576776296,0.9963286519050598,0.3031170189380646
2018-08-06,0,5,3,0.0518155954778194,0.016716428828658488,0.9945458173751832,0.38405155239161104
