time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-03-23,0,0,1,0.0055539030581712,0.0055539030581712,0.9932315349578856,0.9932315349578856
2018-08-06,0,1,0,0.0360746122896671,0.0360746122896671,0.4753475189208984,0.4753475189208984
2018-08-24,0,2,0,0.0027163624763488,0.0027163624763488,0.009452742524445,0.009452742524445
2018-12-05,0,0,1,0.0014097067760303,0.0014097067760303,0.9974835515022278,0.9974835515022278
2018-12-06,0,1,1,0.0020034660119563,0.00198130542412395,0.9971855282783508,0.5005858319345862
2018-12-10,0,1,0,0.0765973851084709,0.0765973851084709,0.079285018146038,0.079285018146038
2018-12-11,0,0,1,0.0078686233609914,0.0078686233609914,0.8672308921813965,0.8672308921813965
2018-12-18,1,0,3,0.517346203327179,0.13340986549155784,0.995912492275238,0.7278593555092812
2018-12-21,0,0,2,0.0017537514213472,0.0016833170084282001,0.9930483102798462,0.9926355183124542
2018-12-27,0,0,2,0.0018361520487815,0.0018361520487815,0.9953606724739076,0.9953606724739076
2019-01-01,0,1,0,0.0070391651242971,0.0070391651242971,0.0131321297958493,0.0131321297958493
2019-01-02,0,0,1,0.0019213774939998,0.0019213774939998,0.992738664150238,0.992738664150238
2019-01-04,0,0,1,0.0133072352036833,0.0133072352036833,0.985879123210907,0.985879123210907
2019-01-09,0,1,1,0.0066594029776751,0.0054791255388408,0.9273358583450316,0.498874008655548
2019-01-10,1,0,1,0.8942852020263672,0.4487510658800602,0.9845274686813354,0.5428761132061481
2019-01-14,0,0,1,0.0010636425577104,0.0010636425577104,0.9981582760810852,0.9981582760810852
2019-01-15,0,0,1,0.0065051950514316,0.0065051950514316,0.9391033053398132,0.9391033053398132
2019-01-18,0,0,1,0.0101261045783758,0.0101261045783758,0.5678407549858093,0.5678407549858093
2019-01-21,0,0,2,0.2519469261169433,0.12662715703481806,0.9974234104156494,0.8114367127418518
2019-01-23,0,0,2,0.0038841315545141,0.00294778659008435,0.9962778687477112,0.9717720448970795
2019-01-24,1,0,0,0.4324677884578705,0.4324677884578705,0.2640413045883178,0.2640413045883178
2019-01-31,0,0,1,0.007055711466819,0.007055711466819,0.9923491477966307,0.9923491477966307
2019-02-04,0,0,2,0.0038517320062965,0.00245648203417655,0.9982120990753174,0.9950848817825317
2019-02-18,1,0,0,0.9753794074058532,0.9753794074058532,0.018990134820342,0.018990134820342
2019-02-21,0,1,0,0.0018198654288426,0.0018198654288426,0.0032573933713138,0.0032573933713138
2019-02-25,0,0,1,0.0014441001694649,0.0014441001694649,0.9957789182662964,0.9957789182662964
2019-03-01,0,0,2,0.1157999485731124,0.058402966533321804,0.9983583092689514,0.9408243000507355
2019-03-05,0,0,2,0.0080489534884691,0.0063080557156354,0.989574134349823,0.9219082593917847
2019-03-06,1,0,1,0.8648313283920288,0.4402535194531083,0.9837063550949096,0.538971073925495
2019-03-07,0,0,4,0.0490671098232269,0.0134734603343531,0.9979058504104614,0.9242268651723862
2019-03-08,3,0,2,0.9931117296218872,0.5001488541252911,0.9755978584289552,0.48766936068423095
2019-03-11,1,1,1,0.8659712672233582,0.30405134963802993,0.9954238533973694,0.3559376200040181
2019-03-12,0,0,1,0.001045074313879,0.001045074313879,0.9983707070350648,0.9983707070350648
2019-03-13,0,1,2,0.0077446708455681,0.006167277538528,0.9918147921562196,0.6915913671255112
2019-03-15,0,0,4,0.2848472595214844,0.08803791366517542,0.9953428506851196,0.9096220880746841
2019-03-18,0,1,5,0.0268915724009275,0.0065349327051080165,0.9979233741760254,0.8097398700192571
2019-03-19,0,1,3,0.0139731783419847,0.005474876437801825,0.9978639483451844,0.735977980948519
2019-03-20,0,0,1,0.0012317062355577,0.0012317062355577,0.9967982172966005,0.9967982172966005
2019-03-28,0,0,1,0.001722230692394,0.001722230692394,0.996077001094818,0.996077001094818
2019-04-01,0,1,1,0.1539013832807541,0.07866370910778639,0.615537166595459,0.33854379132390017
2019-04-02,0,0,2,0.0054626516066491,0.0034340949496254,0.9935826659202576,0.9364527463912964
2019-04-04,0,0,2,0.0032223940361291,0.0023524308344349,0.9969180822372437,0.9908181130886078
2019-04-08,0,0,1,0.0402816645801067,0.0402816645801067,0.9438456892967224,0.9438456892967224
2019-04-16,0,0,1,0.0477903857827186,0.0477903857827186,0.8445494174957275,0.8445494174957275
2019-04-17,1,1,0,0.6938368678092957,0.3474907006020657,0.3016346395015716,0.1518102888949215
2019-04-23,1,0,0,0.623648464679718,0.623648464679718,0.3498177528381347,0.3498177528381347
2019-05-01,1,0,1,0.9873578548431396,0.49420022632693866,0.9983553290367126,0.5050773592665792
2019-05-02,3,0,3,0.994760811328888,0.5320348500002486,0.998425841331482,0.4669476569785426
2019-05-03,0,0,1,0.0010534970788285,0.0010534970788285,0.998360812664032,0.998360812664032
2019-05-06,0,0,3,0.4440529346466064,0.15075909901255116,0.9981029033660888,0.848183830579122
2019-05-07,0,0,4,0.314197838306427,0.12566989572951567,0.998195230960846,0.8729609996080399
2019-05-16,0,0,1,0.2167438268661499,0.2167438268661499,0.7800300121307373,0.7800300121307373
2019-05-20,0,0,2,0.0009588894899934,0.00095597148174415,0.998377799987793,0.9980417191982269
2019-05-21,1,1,0,0.9867952466011048,0.7148518115282059,0.0872423499822616,0.049360555130988304
2019-05-23,0,1,0,0.0021121543832123,0.0021121543832123,0.0041816406883299,0.0041816406883299
2019-06-07,1,0,0,0.6869307160377502,0.6869307160377502,0.2190227508544922,0.2190227508544922
2019-06-21,0,0,1,0.0011797059560194,0.0011797059560194,0.997837245464325,0.997837245464325
2019-07-11,0,0,1,0.0037314398214221,0.0037314398214221,0.9945160746574402,0.9945160746574402
2019-07-15,0,1,0,0.0155498581007123,0.0155498581007123,0.0342770405113697,0.0342770405113697
2019-07-23,0,0,1,0.0011680634925141,0.0011680634925141,0.9981772899627686,0.9981772899627686
2019-08-02,0,1,0,0.0138693787157535,0.0138693787157535,0.0129172932356596,0.0129172932356596
2019-08-14,0,0,1,0.0591448917984962,0.0591448917984962,0.9097306132316588,0.9097306132316588
2019-08-22,0,1,2,0.003327009268105,0.0022658334346487667,0.9977074861526488,0.6657230764006575
2019-08-26,1,0,1,0.9853797554969788,0.4932300357031636,0.9978601336479188,0.502012538490817
2019-08-27,0,1,0,0.0086796795949339,0.0086796795949339,0.1962851881980896,0.1962851881980896
2019-09-11,1,0,0,0.9183965921401978,0.9183965921401978,0.0547698475420475,0.0547698475420475
2019-09-12,0,0,1,0.0092488033697009,0.0092488033697009,0.87564617395401,0.87564617395401
2019-09-17,0,0,1,0.3502318561077118,0.3502318561077118,0.5447051525115967,0.5447051525115967
2019-09-18,0,0,1,0.08350520581007,0.08350520581007,0.6661445498466492,0.6661445498466492
2019-09-20,0,0,1,0.0197858475148677,0.0197858475148677,0.979255735874176,0.979255735874176
2019-09-23,0,0,1,0.0014534221263602,0.0014534221263602,0.9963674545288086,0.9963674545288086
2019-09-24,0,0,1,0.0041368003003299,0.0041368003003299,0.9646492004394532,0.9646492004394532
2019-10-15,0,0,1,0.1293091624975204,0.1293091624975204,0.8238542079925537,0.8238542079925537
2019-11-14,0,1,0,0.003876325674355,0.003876325674355,0.0073843416757881,0.0073843416757881
2019-12-02,0,0,1,0.4571487605571747,0.4571487605571747,0.4879929721355438,0.4879929721355438
2019-12-05,0,0,1,0.0188831258565187,0.0188831258565187,0.9804201126098632,0.9804201126098632
2019-12-09,0,1,1,0.0962923020124435,0.05302837630733845,0.5021063089370728,0.39134879410266876
2019-12-10,0,0,2,0.006967972498387,0.00524480629246675,0.9844340682029724,0.9515777230262756
2019-12-12,0,1,2,0.0526804886758327,0.028672979523738196,0.9271616339683532,0.5791692808270454
2019-12-13,0,1,0,0.0161780975759029,0.0161780975759029,0.0841420888900756,0.0841420888900756
2019-12-18,0,0,2,0.0090203126892447,0.005741432309150651,0.993661403656006,0.7859278321266174
2019-12-25,1,0,0,0.8567848205566406,0.8567848205566406,0.1183137074112892,0.1183137074112892
2019-12-26,0,0,1,0.0010359851876273,0.0010359851876273,0.9980018734931946,0.9980018734931946
2019-12-27,0,0,2,0.0061762798577547,0.00383768178289755,0.9947176575660706,0.9650649726390839
2019-12-30,0,0,2,0.0456769131124019,0.0235729839187115,0.9967323541641236,0.9746765196323395
2019-12-31,0,0,1,0.0048061539418995,0.0048061539418995,0.8045428395271301,0.8045428395271301
2020-01-08,0,0,4,0.080803484,0.021987344,0.997161030769348,0.8830397874116898
2020-01-09,0,0,2,0.009032012,0.007714203,0.9879139065742492,0.958574891090393
2020-01-13,0,1,2,0.0117381196469068,0.006898752882302267,0.9960266351699828,0.8051545321941376
2020-01-14,0,0,3,0.00629855,0.003932207666666667,0.9915733933448792,0.9793089032173157
2020-01-15,0,0,1,0.004011303,0.004011303,0.8931272029876709,0.8931272029876709
2020-01-16,0,1,0,0.005968236,0.005968236,0.4261448383331299,0.4261448383331299
2020-01-17,0,0,1,0.002319734,0.002319734,0.9964723587036132,0.9964723587036132
2020-01-20,0,1,0,0.003044201,0.003044201,0.031988379,0.031988379
2020-01-22,0,0,1,0.004478732,0.004478732,0.988514245,0.988514245
2020-01-23,0,0,1,0.001679419,0.001679419,0.9970807433128356,0.9970807433128356
2020-01-24,0,0,1,0.004192797,0.004192797,0.900435746,0.900435746
2020-01-30,1,0,1,0.9274787902832032,0.4643331951416016,0.9982351064682008,0.5347640142341004
2020-02-14,1,0,0,0.8981326222419739,0.8981326222419739,0.098533057,0.098533057
2020-03-17,0,1,0,0.2684558928012848,0.2684558928012848,0.096281037,0.096281037
2020-05-01,0,0,1,0.1970657557249069,0.1970657557249069,0.7863694429397583,0.7863694429397583
2020-05-05,0,0,1,0.010419114,0.010419114,0.6514540314674377,0.6514540314674377
2020-05-13,0,1,0,0.00589691,0.00589691,0.048067443,0.048067443
2020-05-14,0,0,1,0.006066168,0.006066168,0.992677927017212,0.992677927017212
2020-05-25,0,0,2,0.00799353,0.0048253025,0.9974873065948486,0.9460409877974243
2020-06-01,0,0,2,0.006403167,0.00457001,0.9933409094810486,0.9724560379981995
2020-06-02,0,0,1,0.013169475,0.013169475,0.7123459577560425,0.7123459577560425
2020-06-05,0,1,0,0.00269037,0.00269037,0.0298918075859546,0.0298918075859546
2020-06-09,0,0,1,0.002958929,0.002958929,0.9960343241691588,0.9960343241691588
2020-06-12,0,0,1,0.005648185,0.005648185,0.8285226821899414,0.8285226821899414
2020-06-16,1,0,1,0.9303287863731384,0.4668410471865692,0.9951351284980774,0.5305146017490388
2020-06-17,0,0,1,0.001744614,0.001744614,0.9925729036331176,0.9925729036331176
2020-06-22,0,1,0,0.0170973129570484,0.0170973129570484,0.1742083430290222,0.1742083430290222
2020-06-24,0,0,1,0.0113921677693724,0.0113921677693724,0.5622849464416504,0.5622849464416504
2020-08-13,0,0,1,0.001345551,0.001345551,0.9950507283210754,0.9950507283210754
2020-08-17,0,0,1,0.006706773,0.006706773,0.988371193408966,0.988371193408966
2020-08-19,0,0,1,0.0115267978981137,0.0115267978981137,0.5464747548103333,0.5464747548103333
2020-08-20,0,0,4,0.005055747,0.00267969125,0.9983164072036744,0.9946751594543458
2020-08-21,0,0,2,0.003761475,0.0022958005,0.998405397,0.9944998324225769
2020-08-26,1,0,0,0.7406930923461914,0.7406930923461914,0.2062573879957199,0.2062573879957199
2020-09-14,0,0,1,0.0181888006627559,0.0181888006627559,0.5351368188858032,0.5351368188858032
2020-09-15,1,0,0,0.4172079265117645,0.4172079265117645,0.3990584015846252,0.3990584015846252
2020-09-17,0,0,1,0.061237056,0.061237056,0.933559775,0.933559775
2020-10-07,0,0,1,0.001019484,0.001019484,0.9982008934020996,0.9982008934020996
2020-10-12,0,0,1,0.0110871763899922,0.0110871763899922,0.5555427670478821,0.5555427670478821
2020-12-08,0,0,1,0.001634385,0.001634385,0.9967646598815918,0.9967646598815918
2020-12-21,0,1,0,0.0253564193844795,0.0253564193844795,0.133818432688713,0.133818432688713
2020-12-28,0,1,0,0.0245253145694732,0.0245253145694732,0.0170705541968345,0.0170705541968345
