time,negative,neutral,positive,negative_max,negative_avg,positive_max,positive_avg
2018-04-02,1,1,0,0.748562216758728,0.37703611934557557,0.2448664605617523,0.13318361714482305
2018-04-03,0,0,1,0.0027319616638123,0.0027319616638123,0.9953572154045104,0.9953572154045104
2018-04-10,0,0,1,0.0010271625360473,0.0010271625360473,0.9971741437911988,0.9971741437911988
2018-04-11,0,0,2,0.0052586970850825,0.00333662435878065,0.997017502784729,0.9946216940879822
2018-04-24,1,0,0,0.9708064198493958,0.9708064198493958,0.0151956724002957,0.0151956724002957
2018-04-27,0,1,1,0.0298635214567184,0.015515253588091549,0.998233437538147,0.5025388286449015
2018-04-30,2,0,2,0.9763389825820924,0.47822191126761027,0.9960845708847046,0.5193869057111442
2018-05-14,0,0,1,0.0052898419089615,0.0052898419089615,0.8918554782867432,0.8918554782867432
2018-07-10,1,0,0,0.5470690727233887,0.5470690727233887,0.4156303703784942,0.4156303703784942
2018-08-06,0,0,2,0.0076024937443435,0.0058254054747521496,0.9945520758628844,0.9772069752216338
2018-08-17,0,4,0,0.017423452809453,0.0167667958885431,0.4800994098186493,0.428087517619133
2018-09-07,0,0,1,0.0039153629913926,0.0039153629913926,0.9856918454170228,0.9856918454170228
2018-10-15,0,0,1,0.0347266308963298,0.0347266308963298,0.9538629055023192,0.9538629055023192
2018-11-12,1,0,0,0.7591903209686279,0.7591903209686279,0.2345214486122131,0.2345214486122131
2018-11-22,0,1,0,0.009323944337666,0.009323944337666,0.0385150760412216,0.0385150760412216
2018-11-26,1,0,0,0.9075581431388856,0.9075581431388856,0.0440720990300178,0.0440720990300178
2018-12-03,0,0,1,0.0012593914289027,0.0012593914289027,0.9979233741760254,0.9979233741760254
2018-12-10,1,0,0,0.9077828526496888,0.9077828526496888,0.0127058299258351,0.0127058299258351
2018-12-11,0,0,2,0.0435678884387016,0.0223496807739138,0.9972146153450012,0.8219751417636871
2018-12-13,0,0,2,0.3386421501636505,0.3386421501636505,0.4183103740215301,0.4183103740215301
2018-12-26,0,1,0,0.0015566585352644,0.0015566585352644,0.0062903086654841,0.0062903086654841
2018-12-27,2,0,0,0.9917110204696656,0.9917110204696656,0.0055802897550165,0.0055802897550165
2019-01-11,1,0,0,0.9487294554710388,0.9487294554710388,0.0399814508855342,0.0399814508855342
2019-01-15,2,0,0,0.9941239953041076,0.9923864006996154,0.0068117463961243,0.0056145824491977
2019-01-16,1,0,0,0.9924187660217284,0.9924187660217284,0.0063061187975108,0.0063061187975108
2019-01-21,1,0,0,0.9963853359222412,0.9963853359222412,0.0028663605917245,0.0028663605917245
2019-01-28,2,1,0,0.9882274270057678,0.6446206723339856,0.0486081354320049,0.019873963979383267
2019-01-29,1,0,0,0.9941031336784364,0.9941031336784364,0.0051177875138819,0.0051177875138819
2019-01-30,0,0,1,0.0011279463069513,0.0011279463069513,0.9982701539993286,0.9982701539993286
2019-02-04,4,0,1,0.9664654731750488,0.773177656531334,0.7832822203636169,0.22085926681756968
2019-02-05,6,4,5,0.9947047829627992,0.4123275573986272,0.9939115047454834,0.3266907126953204
2019-02-06,1,0,0,0.9715785384178162,0.9715785384178162,0.0255843456834554,0.0255843456834554
2019-02-20,0,1,0,0.0072980336844921,0.0072980336844921,0.0372191369533538,0.0372191369533538
2019-02-25,0,0,1,0.3676910102367401,0.3676910102367401,0.474361777305603,0.474361777305603
2019-03-04,1,0,0,0.6162119507789612,0.6162119507789612,0.2890819609165191,0.2890819609165191
2019-03-06,1,0,0,0.9044276475906372,0.9044276475906372,0.0933124721050262,0.0933124721050262
2019-03-08,0,0,1,0.1260783374309539,0.1260783374309539,0.814315676689148,0.814315676689148
2019-03-13,0,1,1,0.0074066556990146,0.00476398225873705,0.9870118498802184,0.5145782474428414
2019-03-25,0,0,1,0.0494124218821525,0.0494124218821525,0.9484387636184692,0.9484387636184692
2019-04-02,0,0,1,0.0019031841075047,0.0019031841075047,0.9900051951408386,0.9900051951408386
2019-04-05,2,0,0,0.7569819688796997,0.7569819688796997,0.230321779847145,0.230321779847145
2019-04-08,0,0,2,0.0022962889634072,0.0022962889634072,0.9854084849357604,0.9854084849357604
2019-05-01,1,0,0,0.9873578548431396,0.9873578548431396,0.0117993894964456,0.0117993894964456
2019-05-06,0,1,0,0.2996889948844909,0.2996889948844909,0.081546202301979,0.081546202301979
2019-05-20,0,0,1,0.0015181269263848,0.0015181269263848,0.9939608573913574,0.9939608573913574
2019-06-03,0,1,0,0.0113511094823479,0.0113511094823479,0.0653251558542251,0.0653251558542251
2019-06-05,1,0,0,0.6093661189079285,0.6093661189079285,0.2908492386341095,0.2908492386341095
2019-06-06,1,0,2,0.9819759130477904,0.32852358502956724,0.997077226638794,0.6700981917480627
2019-06-10,0,0,1,0.0010109877912327,0.0010109877912327,0.9970881342887878,0.9970881342887878
2019-07-04,0,0,1,0.0142612503841519,0.0142612503841519,0.961079239845276,0.961079239845276
2019-07-26,2,0,0,0.9937135577201844,0.9856738448143005,0.0142201110720634,0.0099000933114439
2019-08-02,3,0,1,0.994028091430664,0.6371582075080369,0.9976580142974854,0.36124749248847365
2019-08-05,2,1,0,0.9885424375534058,0.6445412569446489,0.0529705882072448,0.0220936713740229
2019-08-07,1,0,0,0.9892107248306274,0.9892107248306274,0.0074554444290697,0.0074554444290697
2019-08-14,0,0,1,0.0028614315669983,0.0028614315669983,0.9959391355514526,0.9959391355514526
2019-08-19,0,0,1,0.0247609205543994,0.0247609205543994,0.7577824592590332,0.7577824592590332
2019-08-29,1,0,0,0.982900083065033,0.982900083065033,0.0138041628524661,0.0138041628524661
2019-09-02,1,0,0,0.719160258769989,0.719160258769989,0.2780313193798065,0.2780313193798065
2019-09-04,0,1,1,0.0061254417523741,0.0036854778300039,0.9967932105064392,0.6331873834133148
2019-09-05,0,1,0,0.0353718400001525,0.0353718400001525,0.0166445318609476,0.0166445318609476
2019-09-17,0,1,0,0.0237250495702028,0.0237250495702028,0.0675554648041725,0.0675554648041725
2019-09-18,1,0,1,0.9888334274291992,0.4954690211452544,0.9851651191711426,0.49742591241374606
2019-09-19,0,2,1,0.0316945388913154,0.014399632151859465,0.9974779486656188,0.4194754833976428
2019-09-24,0,1,0,0.0013102530501782,0.0013102530501782,0.0161132384091615,0.0161132384091615
2019-09-25,0,1,0,0.0273997336626052,0.0273997336626052,0.0438405759632587,0.0438405759632587
2019-11-01,2,0,4,0.941389501094818,0.3289745043342311,0.9976634979248048,0.6694614986578623
2019-11-08,0,0,1,0.0016276087844744,0.0016276087844744,0.9972890615463256,0.9972890615463256
2019-12-02,0,0,1,0.0976374894380569,0.0976374894380569,0.9009231328964232,0.9009231328964232
2019-12-09,0,1,1,0.0102425795048475,0.00581819831859315,0.9976535439491272,0.5169051624834538
2019-12-26,0,0,1,0.0023470646701753,0.0023470646701753,0.9943416118621826,0.9943416118621826
2020-01-13,0,0,1,0.005777634,0.005777634,0.9879155158996582,0.9879155158996582
2020-01-16,0,1,0,0.011987524,0.011987524,0.066697367,0.066697367
2020-03-19,0,1,0,0.0193341858685016,0.0193341858685016,0.3080626726150512,0.3080626726150512
2020-06-05,1,0,0,0.8999379873275757,0.8999379873275757,0.0206915363669395,0.0206915363669395
2020-06-12,0,1,0,0.007585334,0.007585334,0.046854775,0.046854775
2020-06-17,1,0,0,0.6853774189949036,0.6853774189949036,0.1155942976474762,0.1155942976474762
2020-07-29,2,0,1,0.9931064248085022,0.6691916037895407,0.9552732706069946,0.32671385507888123
2020-09-02,0,0,1,0.4953561425209045,0.4953561425209045,0.4976755380630493,0.4976755380630493
2020-09-10,0,0,1,0.00375274,0.00375274,0.9829607009887696,0.9829607009887696
2020-09-15,0,0,1,0.3024216890335083,0.3024216890335083,0.6776498556137085,0.6776498556137085
2020-09-17,0,1,0,0.0243600644171237,0.0243600644171237,0.2221753746271133,0.2221753746271133
2020-10-21,0,1,0,0.2994817495346069,0.2994817495346069,0.1965460479259491,0.1965460479259491
2020-11-05,0,0,1,0.002314533,0.002314533,0.9859848022460938,0.9859848022460938
2020-11-20,0,1,0,0.003595108,0.003595108,0.017965164,0.017965164
2020-11-23,0,2,0,0.004709873,0.0044887404999999995,0.0310017708688974,0.0293319374344487
2020-12-22,0,0,1,0.310232013,0.310232013,0.6752960681915283,0.6752960681915283
2021-01-22,3,0,1,0.9972860813140868,0.737237734975502,0.9975565671920776,0.2618213402980194
2021-01-25,0,0,1,0.001373303,0.001373303,0.9968390464782716,0.9968390464782716
2021-02-05,0,1,0,0.0104910219088196,0.0104910219088196,0.0485104173421859,0.0485104173421859
2021-02-22,0,2,0,0.0182621367275714,0.0182621367275714,0.070608638,0.070608638
2021-02-23,0,2,0,0.001359624,0.001359624,0.003320498,0.003320498
2021-03-17,0,0,1,0.0019019,0.0019019,0.9944589138031006,0.9944589138031006
2021-04-01,2,0,0,0.6549341678619385,0.6549341380596161,0.1533194780349731,0.1533194705843925
2021-04-14,0,1,1,0.006645959,0.0051884585,0.9259502291679382,0.46898037241771817
2021-04-19,1,0,0,0.98239266872406,0.98239266872406,0.0155369285494089,0.0155369285494089
2021-04-23,0,0,3,0.00122526,0.001135952,0.9981064796447754,0.9980421465482584
2021-05-04,1,0,2,0.7720856070518494,0.2587859709183881,0.99624157,0.7028051740540886
2021-05-10,0,2,0,0.0028643098194152,0.0028643089097076,0.0092757008969783,0.00927569694848915
2021-05-11,0,1,0,0.0993877723813057,0.0993877723813057,0.1640866249799728,0.1640866249799728
2021-05-12,0,1,0,0.0311952773481607,0.0311952773481607,0.0190069638192653,0.0190069638192653
2021-05-17,0,0,1,0.001374068,0.001374068,0.9970948696136476,0.9970948696136476
2021-06-24,0,0,3,0.005450526,0.0029658716666666664,0.9957817792892456,0.9832744399703369
2021-06-29,0,0,2,0.0411028526723384,0.0259174345992505,0.9488317370414734,0.8972705602645874
2021-07-14,0,0,3,0.086638093,0.034638274548079634,0.9390080571174622,0.8721465667088827
2021-07-15,0,0,1,0.006220053,0.006220053,0.992964506,0.992964506
2021-07-16,0,0,1,0.00137905,0.00137905,0.9979676604270936,0.9979676604270936
2021-07-20,1,0,1,0.965838611,0.4838580035,0.994655967,0.5117356750457844
2021-07-21,0,1,2,0.001305481,0.000986331,0.9982006549835204,0.6654605649738871
2021-08-05,1,0,0,0.850613534,0.850613534,0.1431123167276382,0.1431123167276382
2021-08-06,0,1,0,0.004784336,0.004784336,0.0176238417625427,0.0176238417625427
2021-08-16,2,0,1,0.8621463179588318,0.494531151652944,0.9976180195808412,0.5033631126085917
2021-09-20,0,1,0,0.0211404357105493,0.0211404357105493,0.0166164487600326,0.0166164487600326
2021-09-21,0,0,1,0.1028154492378234,0.1028154492378234,0.8953606486320496,0.8953606486320496
2021-10-06,1,0,0,0.9693750143051147,0.9693750143051147,0.0275284927338361,0.0275284927338361
2021-10-15,0,0,1,0.073673852,0.073673852,0.8910138010978699,0.8910138010978699
2021-10-20,0,0,1,0.059483878,0.059483878,0.8241021037101746,0.8241021037101746
2021-10-25,0,0,1,0.005594313,0.005594313,0.9939538836479188,0.9939538836479188
2021-10-28,0,0,1,0.043732323,0.043732323,0.948432446,0.948432446
2021-11-10,0,1,0,0.006829469,0.006829469,0.1477490663528442,0.1477490663528442
2021-11-12,0,0,1,0.001447803,0.001447803,0.9975243210792542,0.9975243210792542
2021-11-15,0,0,1,0.3864434659481048,0.3864434659481048,0.6068585515022278,0.6068585515022278
2021-11-22,0,0,2,0.005856131,0.005856131,0.987497329711914,0.987497329711914
2021-12-07,0,1,0,0.008797322,0.008797322,0.1069496572017669,0.1069496572017669
2021-12-16,0,0,1,0.0122353984043002,0.0122353984043002,0.9837956428527832,0.9837956428527832
2021-12-17,0,0,1,0.2977042198181152,0.2977042198181152,0.6843215227127075,0.6843215227127075
2021-12-20,0,0,1,0.003247159,0.003247159,0.9898530840873718,0.9898530840873718
2021-12-24,0,0,1,0.012954012,0.012954012,0.669184148,0.669184148
2021-12-29,1,0,0,0.3754364252090454,0.3754364252090454,0.3373922109603882,0.3373922109603882
2022-01-19,0,1,0,0.0005789172719232,0.0005789172719232,0.00062061304925,0.00062061304925
2022-01-31,0,0,1,0.0019191408064216,0.0019191408064216,0.9949287176132202,0.9949287176132202
2022-02-07,0,0,1,0.2322670072317123,0.2322670072317123,0.6791149377822876,0.6791149377822876
2022-03-30,0,0,1,0.0444688163697719,0.0444688163697719,0.9541640877723694,0.9541640877723694
2022-04-07,0,0,1,0.0058158952742815,0.0058158952742815,0.9765956401824952,0.9765956401824952
2022-04-27,1,1,1,0.5102956295013428,0.21896254038438198,0.8534641861915588,0.44781632302328944
2022-05-02,0,0,1,0.0018673774320632,0.0018673774320632,0.9933493733406068,0.9933493733406068
2022-05-27,1,0,0,0.8241000175476074,0.8241000175476074,0.173648253083229,0.173648253083229
2022-05-30,1,0,0,0.701850414276123,0.701850414276123,0.2616775929927826,0.2616775929927826
2022-06-01,1,0,0,0.9909770488739014,0.9909770488739014,0.00776996,0.00776996
2022-06-02,0,1,0,0.0210471600294113,0.0210471600294113,0.047797542065382,0.047797542065382
2022-07-21,1,0,0,0.9911109209060668,0.9911109209060668,0.007950854,0.007950854
2022-07-22,2,0,0,0.9938887357711792,0.9924344122409821,0.006743148,0.0059564095
2022-08-31,3,0,0,0.9952507019042968,0.9925708373387655,0.00700478,0.004838025333333333
2022-09-02,0,0,1,0.003587524,0.003587524,0.9705854654312134,0.9705854654312134
2022-09-15,0,1,0,0.007320342,0.007320342,0.0209097191691398,0.0209097191691398
2022-10-06,1,0,0,0.9947726130485536,0.9947726130485536,0.003306243,0.003306243
2022-10-17,0,1,0,0.033245556,0.033245556,0.2951616942882538,0.2951616942882538
2022-10-24,1,0,0,0.993843913078308,0.993843913078308,0.004555698,0.004555698
2022-10-26,2,0,0,0.5662598013877869,0.5332545936107635,0.076698087,0.072407741
2022-10-28,1,0,0,0.9592642784118652,0.9592642784118652,0.026521735,0.026521735
2022-10-31,0,0,2,0.1421214342117309,0.07265142510586545,0.9758176803588868,0.9015840291794435
2022-11-07,0,0,1,0.011280215345323,0.011280215345323,0.96158105134964,0.96158105134964
2022-11-08,2,0,0,0.9937708973884584,0.8086792230606079,0.2199955731630325,0.11264538158151625
2022-11-14,0,0,1,0.1611377894878387,0.1611377894878387,0.8179526329040527,0.8179526329040527
2022-11-17,1,0,1,0.9104822278022766,0.4576880429011383,0.981657863,0.517247531731409
2022-12-02,0,0,1,0.019980251789093,0.019980251789093,0.926606059074402,0.926606059074402
2022-12-13,0,0,1,0.0114129120483994,0.0114129120483994,0.8444210886955261,0.8444210886955261
2023-01-16,0,1,0,0.0235384609550237,0.0235384609550237,0.020210093,0.020210093
2023-01-20,1,0,0,0.9934002161026,0.9934002161026,0.003321961,0.003321961
2023-01-30,0,0,1,0.00335701,0.00335701,0.9941585063934326,0.9941585063934326
2023-02-13,0,0,1,0.0281281061470508,0.0281281061470508,0.9647366404533386,0.9647366404533386
2023-02-20,1,0,0,0.5240533351898193,0.5240533351898193,0.2392489463090896,0.2392489463090896
2023-03-08,0,1,0,0.023571972,0.023571972,0.2723119556903839,0.2723119556903839
2023-03-09,0,0,1,0.004715963,0.004715963,0.9794486165046692,0.9794486165046692
2023-04-17,1,0,0,0.9946537017822266,0.9946537017822266,0.003510706,0.003510706
2023-04-20,1,0,0,0.9813960194587708,0.9813960194587708,0.0132797174155712,0.0132797174155712
2023-05-08,0,0,1,0.004111985,0.004111985,0.991950512,0.991950512
